,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,0.57,0.8,1.04,0.81,0.91,0.46,0.46,0.46,0.35,0.32,0.36,0.31,0.59,0.38,0.39
f_1,0.9,0.41,0.75,0.77,0.86,0.66,0.33,0.39,0.49,0.33,0.35,0.39,0.25,0.27,0.34,0.31
d_1,0.91,0.9,0.39,0.8,0.81,0.7,0.42,0.59,0.3,0.37,0.34,0.35,0.29,0.39,0.31,0.22
c_1,0.61,0.86,0.92,0.38,1.01,0.8,0.43,0.21,0.5,0.49,0.39,0.39,0.31,0.33,0.32,0.26
b_1,0.87,0.79,0.87,0.5,0.37,1.07,0.43,0.39,0.48,0.42,0.75,0.41,0.42,0.38,0.46,0.33
a_1,0.8,0.96,0.97,0.83,0.47,0.3,0.5,0.41,0.42,0.48,0.46,0.37,0.34,0.42,0.64,0.4
h_1,0.7,0.84,0.7,0.72,0.7,0.6,0.24,0.36,0.44,0.31,0.32,0.26,0.37,0.3,0.32,0.29
d_0,0.46,0.74,0.94,1.05,0.7,0.71,0.43,0.25,0.44,0.36,0.33,0.33,0.26,0.29,0.35,0.34
g_1,0.71,0.79,0.8,0.7,0.71,0.69,0.31,0.33,0.22,0.33,0.33,0.35,0.23,0.33,0.31,0.3
c_0,0.87,0.76,0.47,1.24,0.8,0.58,0.43,0.39,0.36,0.24,0.39,0.33,0.27,0.34,0.34,0.27
b_0,0.76,0.66,0.6,0.86,0.97,0.69,0.4,0.37,0.41,0.21,0.23,0.33,0.28,0.33,0.37,0.29
f_0,0.72,1.12,0.66,0.76,0.7,0.65,0.46,0.28,0.26,0.35,0.34,0.22,0.27,0.34,0.29,0.2
h_0,0.67,0.81,0.71,0.76,0.57,0.71,0.46,0.35,0.4,0.33,0.31,0.33,0.38,0.31,0.28,0.33
e_0,0.73,1.06,0.64,0.86,0.74,0.64,0.37,0.32,0.34,0.32,0.31,0.2,0.26,0.19,0.27,0.26
a_0,0.71,0.7,0.65,0.78,0.85,0.96,0.4,0.33,0.35,0.28,0.17,0.42,0.3,0.38,0.19,0.27
g_0,0.66,0.78,0.82,0.74,0.71,0.59,0.33,0.3,0.49,0.34,0.38,0.35,0.21,0.29,0.32,0.32
