,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,1.32,1.28,1.88,1.47,1.42,2.77,3.35,2.78,4.7,3.53,3.94,4.02,3.52,3.11,4.53
f_1,2.17,2.46,1.38,1.51,1.34,1.13,2.74,2.73,2.75,3.14,3.08,1.96,3.5,3.32,2.88,3.67
d_1,1.48,1.59,2.55,1.21,1.54,1.57,2.9,2.63,4.98,2.67,3.62,3.19,4.21,3.42,3.62,3.55
c_1,1.29,1.45,1.59,2.67,2.45,1.38,2.46,2.52,2.08,2.62,2.22,3.45,3.7,3.12,3.48,3.83
b_1,1.36,1.49,1.52,1.27,2.76,2.69,3.0,2.74,3.36,2.93,2.55,3.45,4.5,2.48,3.38,4.04
a_1,1.49,1.76,1.59,1.47,1.13,3.25,3.27,2.79,3.44,3.69,3.42,3.59,4.34,3.48,3.39,4.73
h_1,1.53,1.89,1.55,1.72,1.35,1.4,4.19,3.82,3.01,3.0,3.47,3.36,3.47,3.64,3.02,5.29
g_1,1.25,1.48,2.11,1.63,1.5,1.44,2.63,4.57,3.48,3.0,3.25,4.87,4.38,3.4,3.92,3.74
c_0,1.62,1.77,1.46,1.56,1.21,1.62,3.34,2.76,4.35,3.66,5.63,3.64,4.33,4.25,3.62,4.25
d_0,1.43,1.59,1.23,2.54,1.69,1.31,3.03,3.19,2.51,4.23,3.54,3.65,4.21,3.25,3.62,4.72
b_0,1.46,1.69,1.72,1.68,1.3,1.32,3.13,3.54,3.12,3.19,4.49,3.77,4.44,6.27,3.66,4.27
f_0,1.35,1.53,1.74,1.74,1.59,1.62,2.96,3.1,3.24,3.36,3.48,4.64,4.72,3.6,5.64,3.49
h_0,1.54,2.03,1.73,1.59,1.35,1.35,2.59,3.44,3.26,3.15,3.44,3.16,3.71,3.19,3.37,5.59
a_0,1.54,1.61,1.68,1.53,1.89,1.08,3.05,3.46,3.38,3.46,2.95,3.61,4.68,5.08,3.8,4.12
e_0,1.18,1.77,1.58,1.75,1.62,1.55,3.4,3.02,3.55,3.57,3.56,3.27,4.3,2.92,5.23,4.62
g_0,1.3,1.48,2.11,1.78,1.63,1.42,2.42,2.69,3.35,2.7,3.71,5.17,3.56,3.73,3.54,3.44
