,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.14,5.64,11.77,11.8,11.89,11.61,3.55,3.44,2.99,1.69,2.77,2.53,1.73,2.4,15.82,2.2
f_1,10.06,1.14,11.36,13.08,12.62,11.48,2.27,3.66,1.91,1.92,6.49,2.1,1.07,2.18,1.98,1.76
d_1,21.95,11.92,1.14,11.25,10.58,9.95,3.55,2.32,9.35,2.34,2.49,2.23,1.92,2.77,1.72,0.96
c_1,10.5,12.51,13.81,1.14,16.04,15.59,3.57,3.08,1.48,9.98,2.06,2.25,2.11,3.13,2.85,1.87
b_1,12.37,20.16,12.83,7.7,1.14,14.21,3.25,3.21,2.97,3.8,1.95,11.73,1.91,2.25,2.95,2.04
a_1,24.0,19.82,19.64,22.59,9.75,1.15,5.97,5.88,4.19,3.95,4.26,5.93,2.58,20.5,4.09,2.84
h_1,21.18,30.41,24.7,26.61,35.4,22.96,1.9,7.84,5.61,4.67,5.07,6.29,9.55,6.15,4.58,4.5
g_1,32.43,40.55,28.35,39.25,29.33,26.44,7.14,1.94,5.51,7.01,5.54,7.23,3.33,5.43,5.44,9.53
d_0,16.67,47.04,98.79,35.28,32.77,40.17,11.23,14.12,2.61,7.18,7.6,6.36,4.72,8.2,6.96,6.75
c_0,33.64,37.14,18.31,241.54,41.62,38.69,14.27,10.86,9.77,2.94,12.37,6.29,6.0,8.79,7.1,6.48
f_0,40.45,153.39,40.75,36.94,29.9,41.78,14.03,6.99,10.24,7.46,2.62,9.1,5.25,7.69,8.92,3.18
b_0,36.36,42.51,33.61,48.31,154.0,37.3,10.27,15.35,8.27,3.88,11.32,2.56,5.75,8.79,8.92,6.23
h_0,46.15,56.0,42.89,53.22,51.33,47.48,44.32,25.21,11.73,11.78,11.82,8.25,28.0,10.85,8.7,8.31
a_0,50.7,66.57,49.39,53.22,75.12,,22.16,17.22,15.0,11.11,12.09,6.14,8.4,2.62,10.88,12.46
e_0,156.52,69.18,61.51,57.09,61.6,48.58,15.89,18.1,14.33,14.37,7.0,12.57,11.05,12.72,2.85,7.9
g_0,66.67,86.05,65.2,59.25,61.6,72.03,13.37,64.18,15.36,14.37,11.08,13.89,8.24,10.85,12.89,20.25
