,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.6,2.39,2.85,1.72,2.33,2.12,8.51,16.83,8.82,11.5,8.11,10.57,15.06,11.2,7.65,16.05
f_1,3.58,5.61,2.19,2.26,2.12,1.73,6.84,10.11,8.99,9.48,6.88,5.95,13.94,11.78,9.13,13.88
c_1,1.87,2.14,6.48,2.25,4.08,2.22,8.31,9.75,5.03,6.47,7.28,8.46,15.11,8.91,11.51,14.43
d_1,2.3,2.36,1.53,7.02,1.99,2.25,9.27,6.17,20.6,13.88,9.68,12.56,17.36,12.27,13.06,17.42
b_1,1.97,2.27,2.32,2.23,7.75,4.73,7.73,10.4,9.39,6.82,7.26,9.84,15.12,8.54,11.29,13.56
a_1,1.99,2.53,2.43,2.18,1.95,11.05,8.9,9.91,12.8,11.34,8.4,11.13,21.29,7.91,12.28,18.03
h_1,2.28,3.39,2.48,2.7,2.24,2.22,17.82,8.78,11.21,12.65,12.73,13.27,11.88,11.63,12.3,21.88
d_0,2.38,2.18,4.65,1.62,2.69,2.33,9.63,17.53,7.83,10.94,9.03,11.24,16.25,11.02,12.68,18.98
c_0,2.68,2.63,1.72,2.76,1.95,2.47,8.56,10.63,19.74,22.16,11.3,13.87,19.82,14.89,11.62,18.91
b_0,2.79,2.7,2.74,2.4,1.5,1.56,9.91,12.07,13.59,23.62,10.88,11.85,18.42,28.37,12.88,20.53
g_1,2.31,2.23,2.3,3.64,2.18,2.21,10.48,8.55,11.38,11.9,27.31,18.57,16.67,12.99,12.43,15.53
f_0,1.76,2.08,2.73,3.09,2.34,2.58,10.34,10.87,12.49,13.28,12.86,26.43,20.94,12.63,28.87,20.79
h_0,2.37,3.18,2.5,2.92,2.29,2.3,7.52,10.0,11.25,12.63,13.79,11.85,13.86,11.93,12.46,24.41
a_0,2.62,2.65,2.66,2.75,1.91,1.59,10.47,11.9,11.3,11.81,12.12,12.63,16.33,27.36,14.9,20.13
e_0,1.56,2.81,2.32,3.52,2.59,2.57,9.68,9.61,12.93,12.36,13.08,12.93,22.09,13.53,28.62,19.66
g_0,2.01,2.15,2.69,4.03,2.44,2.25,9.36,8.75,12.28,10.92,7.54,20.95,18.59,11.81,13.1,15.05
