,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.04,1.08,1.45,1.69,1.48,1.25,0.6,0.59,0.57,0.45,0.51,0.44,0.35,0.39,0.45,0.36
f_1,1.68,1.04,1.38,1.45,1.37,1.19,0.48,0.57,0.5,0.39,0.46,0.41,0.28,0.33,0.33,0.33
d_1,1.78,1.79,1.05,1.48,1.71,1.41,0.6,0.44,0.6,0.57,0.46,0.49,0.37,0.4,0.43,0.26
c_1,1.42,1.83,2.02,1.04,1.72,1.44,0.74,0.58,0.36,0.55,0.48,0.42,0.39,0.48,0.4,0.36
b_1,1.76,2.03,1.8,1.3,1.05,1.76,0.72,0.71,0.53,0.66,0.56,0.64,0.45,0.43,0.46,0.41
a_1,2.51,2.74,2.3,2.37,1.52,1.06,0.97,0.88,0.89,0.68,0.75,0.87,0.65,1.05,0.6,0.55
h_1,4.16,4.51,4.01,3.8,3.89,3.33,1.22,1.73,1.3,1.1,1.15,1.12,0.96,0.98,1.03,0.85
g_1,4.88,4.91,5.21,5.15,4.46,3.8,1.59,1.24,1.52,1.4,1.51,1.36,0.91,1.3,1.23,1.03
d_0,3.66,5.07,6.02,5.98,4.86,3.88,2.13,2.3,1.32,1.34,1.49,1.53,1.23,1.34,1.46,1.28
c_0,6.1,6.43,3.71,6.59,4.98,4.62,2.21,1.92,2.35,1.37,1.66,2.0,1.25,1.54,1.54,1.15
f_0,5.31,6.73,5.76,5.73,4.95,4.23,2.02,1.57,1.86,1.61,1.34,1.65,1.23,1.37,1.75,0.91
b_0,6.08,6.13,5.05,7.1,5.59,4.03,2.13,2.15,1.99,1.04,1.74,1.36,1.34,1.86,1.5,1.3
h_0,7.22,7.71,6.74,6.9,6.35,5.12,3.09,2.57,2.24,1.97,1.93,1.86,1.77,1.52,1.66,1.51
a_0,8.58,8.06,7.13,7.75,7.92,6.37,3.09,2.63,2.54,1.89,2.44,1.55,1.85,1.46,1.86,1.85
e_0,8.37,10.31,7.68,8.12,7.1,6.52,2.87,2.52,2.24,2.08,1.47,2.14,1.66,1.83,1.45,1.52
g_0,8.31,9.08,8.9,8.79,8.01,6.91,2.87,3.12,2.5,2.34,2.7,2.18,1.62,1.81,2.18,1.93
