,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.48,0.26,0.18,0.16,0.16,0.14,0.2,0.18,0.19,0.17,0.23,,0.24,0.11,0.12,0.18
e_1,0.15,1.5,0.16,0.17,0.13,0.12,0.21,0.2,0.2,0.31,0.21,0.19,0.2,,0.15,0.18
d_1,0.17,0.16,1.5,0.17,0.2,0.13,0.18,0.14,0.4,,0.18,0.18,0.17,0.21,0.12,0.14
c_1,0.19,0.16,0.15,1.57,0.28,0.16,0.2,0.2,,0.18,0.21,0.17,0.2,0.19,0.15,0.19
b_1,0.18,0.17,0.18,0.14,1.58,0.22,0.2,0.21,0.17,0.25,,0.25,0.19,0.17,0.17,0.19
a_1,0.19,0.15,0.2,0.16,0.14,1.78,0.24,0.15,0.26,0.29,,0.18,0.24,,,0.21
h_1,0.49,0.37,0.41,0.37,0.36,0.29,1.63,0.46,0.4,0.49,0.34,0.59,,0.28,0.51,0.55
g_1,0.42,0.38,0.61,0.33,0.33,0.35,0.5,1.7,0.36,0.34,0.52,0.75,0.37,0.38,0.33,
c_0,0.55,0.47,0.34,,0.5,0.27,0.57,0.57,1.39,0.59,0.89,0.5,0.59,0.44,0.45,0.59
d_0,0.56,0.42,,0.77,0.39,0.31,0.54,0.57,0.49,1.42,0.48,0.46,0.64,0.68,0.45,0.62
b_0,0.42,0.52,0.47,0.37,,,0.74,0.52,0.41,0.75,1.4,0.56,0.72,0.56,0.81,0.46
f_0,,0.48,0.53,0.51,0.41,0.32,0.39,0.32,0.64,0.61,0.62,1.48,0.73,,0.44,0.51
h_0,0.74,0.7,0.69,0.57,0.47,0.46,,0.89,0.8,0.73,0.63,0.64,,,0.49,0.85
e_0,0.55,,0.38,0.38,0.37,,0.81,0.54,0.76,0.38,0.53,,,1.68,0.66,0.64
a_0,0.62,0.44,0.68,0.5,0.48,,0.48,0.65,0.65,0.42,0.45,0.57,0.62,0.5,1.6,0.59
g_0,0.48,0.7,0.84,0.62,0.58,0.54,0.67,,0.73,0.49,0.79,1.02,0.7,0.5,0.64,
