,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.93,0.79,1.15,1.03,1.05,1.07,1.02,1.37,0.98,1.11,1.13,1.06,0.98,1.07,1.07
d_1,1.08,1.0,1.12,0.89,0.93,0.96,1.03,0.83,0.96,1.23,1.06,0.98,0.93,1.09,0.94,0.91
f_1,1.27,0.89,1.0,0.97,0.93,0.93,0.81,0.99,0.98,0.96,0.95,0.97,0.9,1.02,0.87,1.05
c_1,0.86,1.13,1.02,1.0,1.34,0.86,1.0,0.97,0.71,0.89,0.8,0.83,0.98,0.94,0.93,0.98
b_1,0.96,1.01,1.07,0.76,1.0,1.38,1.17,1.07,0.99,1.08,0.92,1.02,1.04,0.85,1.0,1.03
a_1,0.93,1.07,1.05,1.14,0.77,1.0,1.0,1.17,1.1,1.01,1.15,1.11,1.18,1.12,1.14,1.04
h_1,0.92,1.0,1.18,1.0,0.88,0.99,1.0,1.2,1.01,0.95,1.01,0.94,1.08,0.91,0.98,1.07
g_1,0.97,1.2,0.97,1.02,0.93,0.87,0.83,1.0,0.85,0.98,0.94,1.12,0.93,0.92,1.06,0.96
d_0,0.76,1.05,1.0,1.42,1.04,0.9,1.02,1.19,1.0,0.85,1.04,0.94,1.07,0.99,0.98,1.0
c_0,1.03,0.84,1.04,1.06,0.89,0.95,1.06,1.02,1.24,1.0,1.35,1.15,1.09,1.16,1.13,1.0
b_0,0.89,0.94,1.02,1.26,1.15,0.91,1.01,1.06,1.03,0.72,1.0,1.11,1.04,1.24,1.05,1.08
f_0,0.91,1.01,1.03,1.2,0.95,0.86,1.12,0.9,1.07,0.89,0.94,1.0,1.07,0.97,1.45,0.8
h_0,0.97,1.08,1.12,0.99,0.99,0.85,0.94,1.07,0.9,0.92,0.96,0.88,1.0,0.96,0.92,1.06
a_0,0.99,0.92,1.03,1.09,1.19,0.8,1.12,1.09,0.99,0.85,0.81,1.02,1.05,1.0,1.01,0.98
e_0,0.97,1.06,1.14,1.09,1.02,0.79,1.05,0.92,0.99,0.92,0.96,0.7,1.05,1.01,1.0,0.89
g_0,0.95,1.14,0.94,1.02,0.99,0.94,0.92,1.03,1.0,0.98,0.97,1.16,0.93,0.99,1.06,1.0
