,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.05,1.82,1.68,1.56,1.54,1.32,0.52,0.65,0.56,0.46,0.62,0.48,0.34,0.43,0.45,0.42
e_1,1.21,1.05,2.01,1.73,1.7,1.43,0.64,0.72,0.62,0.51,0.61,0.49,0.42,0.58,0.53,0.41
c_1,1.94,1.45,1.05,2.18,1.97,1.26,0.68,0.64,0.35,0.55,0.48,0.47,0.43,0.46,0.45,0.41
d_1,1.94,2.09,1.78,1.05,1.79,1.51,0.66,0.45,0.74,0.58,0.52,0.47,0.41,0.43,0.4,0.3
b_1,2.2,2.16,1.31,2.13,1.06,2.45,0.83,0.77,0.56,0.82,0.6,0.83,0.48,0.53,0.5,0.4
a_1,3.16,2.7,3.39,3.14,1.57,1.06,1.14,1.14,0.87,0.86,0.85,1.09,0.76,0.76,0.87,0.63
h_1,5.22,5.07,4.71,4.6,4.03,3.93,1.28,2.05,1.42,1.53,1.5,1.45,1.24,1.25,1.14,1.17
g_1,6.15,5.86,5.63,6.25,5.71,3.99,1.64,1.3,1.5,1.71,1.85,1.48,1.0,1.31,1.38,1.32
d_0,5.35,3.97,7.33,6.01,6.27,4.28,2.29,2.45,1.46,1.58,1.75,1.61,1.41,1.56,1.45,1.31
c_0,6.61,6.15,8.94,3.92,5.9,5.79,2.23,2.03,2.24,1.4,1.81,2.02,1.45,1.69,1.67,1.21
f_0,7.43,5.66,6.73,6.05,6.12,4.33,2.36,1.54,1.8,1.92,1.39,1.87,1.52,1.62,1.63,0.95
b_0,6.75,6.98,9.0,5.86,7.78,5.15,2.46,2.47,1.96,1.25,1.77,1.44,1.68,1.56,2.06,1.35
h_0,8.17,7.7,7.5,7.27,7.37,6.08,3.3,3.13,2.23,2.04,2.14,1.86,1.89,1.91,1.74,1.6
e_0,11.13,10.16,8.02,8.48,8.15,6.66,3.15,2.72,2.76,2.29,1.61,2.78,1.99,1.5,2.23,1.4
a_0,8.95,8.07,9.01,9.42,8.97,8.13,3.61,3.01,2.53,2.26,2.51,1.46,1.85,2.1,1.53,1.69
g_0,9.33,9.14,9.21,8.51,8.57,8.72,2.84,3.75,2.92,2.71,3.03,3.01,1.82,2.35,2.42,2.44
