,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.53,1.31,0.84,0.88,0.81,0.6,0.92,0.87,1.06,0.99,0.99,0.79,1.03,0.84,0.64,1.01
e_1,0.86,1.53,1.14,0.81,0.86,0.68,1.07,1.07,1.68,1.06,1.09,1.05,1.12,0.88,0.73,1.15
c_1,0.92,0.78,1.56,1.02,1.28,0.75,1.02,0.94,0.89,0.63,0.79,0.95,1.18,0.85,0.93,1.04
d_1,0.99,0.96,0.74,1.57,0.9,0.68,1.06,0.84,0.79,1.62,1.24,1.02,1.16,1.07,0.98,0.97
b_1,0.99,0.9,0.85,0.85,1.61,1.32,1.1,1.0,1.11,1.17,0.77,1.04,1.07,0.88,0.98,1.09
a_1,1.16,1.06,0.97,1.12,0.73,1.76,1.27,1.05,1.11,1.16,1.21,1.02,1.22,0.81,0.9,0.91
h_1,1.39,1.07,1.1,1.23,1.03,0.77,1.8,1.47,1.23,1.3,1.24,1.1,1.27,1.1,1.1,1.81
g_1,1.16,0.9,1.19,1.67,1.0,0.94,1.2,1.89,1.24,1.34,1.3,1.76,1.35,1.34,1.42,1.21
d_0,1.15,0.97,1.96,0.96,1.2,0.91,1.31,1.23,1.69,0.99,1.31,1.23,1.58,1.05,1.21,1.59
c_0,1.4,1.19,1.19,1.1,0.9,1.05,1.49,1.21,1.5,1.73,2.14,1.29,1.57,1.41,1.31,1.28
b_0,1.41,1.19,1.42,1.16,0.86,0.91,1.41,1.27,1.34,1.21,1.79,1.22,1.7,1.94,1.17,1.5
f_0,1.16,1.02,1.44,1.18,1.13,1.1,1.63,1.23,1.54,1.38,1.23,1.83,1.62,0.97,2.11,1.42
h_0,1.59,1.31,1.23,1.26,1.13,0.96,1.03,1.64,1.3,1.36,1.25,1.41,1.41,1.25,1.03,1.77
a_0,1.38,1.37,1.27,1.19,1.2,1.01,1.53,1.09,1.19,1.42,1.28,1.37,1.65,1.86,1.03,1.45
e_0,1.56,1.01,1.28,1.18,1.3,1.13,1.51,1.43,1.52,1.28,1.42,1.34,1.91,1.35,1.87,1.6
g_0,1.21,1.09,1.28,1.66,1.23,1.07,1.29,1.36,1.22,1.55,1.34,1.79,1.54,1.24,1.31,1.25
