,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.06,1.11,0.92,0.89,0.92,0.99,0.82,1.25,0.99,1.13,0.98,0.96,1.02,0.99,0.87
e_1,0.92,1.0,0.8,1.2,1.1,0.99,1.05,1.11,0.95,1.3,0.95,1.25,1.06,1.03,1.05,1.1
f_1,0.92,1.28,1.0,1.06,0.93,0.84,0.83,1.15,0.93,1.01,1.0,0.88,0.88,1.02,0.81,0.92
c_1,1.1,0.85,0.95,1.0,1.35,1.0,1.01,0.96,0.89,0.74,0.83,1.08,0.95,0.85,0.92,1.02
b_1,1.09,0.89,1.11,0.76,1.0,1.42,1.06,1.02,1.05,0.94,1.06,0.97,1.01,0.87,1.11,1.13
a_1,1.09,1.0,1.18,0.96,0.72,1.0,1.09,1.06,0.98,1.11,1.09,0.95,1.23,0.93,1.12,1.04
h_1,0.99,0.95,1.18,0.99,0.95,0.92,1.0,1.06,0.96,0.94,0.95,0.86,1.03,0.93,0.94,1.13
g_1,1.2,0.86,0.87,0.99,1.02,0.96,0.95,1.0,0.99,0.86,0.98,1.07,0.91,1.05,1.1,0.97
c_0,0.82,1.05,1.0,1.14,0.93,1.04,1.09,1.01,1.0,1.27,1.24,0.98,1.05,1.11,0.99,1.0
d_0,0.95,0.79,0.98,1.35,1.1,0.94,1.09,1.12,0.77,1.0,0.88,1.1,1.09,0.99,1.06,1.12
b_0,0.94,1.03,0.98,1.19,0.9,0.95,1.05,1.07,0.79,1.1,1.0,0.9,1.12,1.43,0.98,1.04
f_0,1.0,0.8,1.12,0.95,1.03,1.1,1.13,0.91,0.96,0.92,1.02,1.0,1.12,1.04,1.49,0.89
h_0,1.03,0.95,1.09,1.03,1.0,0.81,0.98,1.1,0.98,0.89,0.9,0.89,1.0,1.0,0.82,1.12
a_0,0.96,0.97,0.97,1.19,1.07,1.08,1.07,0.99,0.89,1.0,0.75,0.98,1.0,1.0,0.91,0.94
e_0,1.0,0.97,1.22,1.04,0.97,0.89,1.04,0.93,1.01,0.91,1.03,0.72,1.21,1.08,1.0,1.03
g_0,1.09,0.92,1.1,0.99,0.91,0.97,0.9,1.03,0.99,0.91,0.94,1.13,0.89,1.09,0.95,1.0
