,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,13.5,0.66,0.68,0.45,0.63,0.6,0.97,0.98,2.53,0.61,1.43,1.12,1.11,1.19,1.04,0.88
e_1,0.52,12.21,0.64,0.85,0.59,0.67,1.05,0.92,0.97,2.2,1.13,1.13,0.9,1.0,1.03,0.68
f_1,0.59,1.55,12.05,0.71,0.56,0.55,0.91,0.75,0.74,0.87,0.88,0.56,0.85,0.74,0.88,0.71
c_1,0.62,0.49,0.63,15.21,1.71,0.6,0.82,0.88,0.34,0.78,0.48,0.75,1.03,0.92,0.87,1.12
b_1,0.66,0.58,0.71,0.66,15.4,1.88,0.76,0.81,0.72,0.83,0.51,0.92,0.93,0.92,0.55,0.98
a_1,0.77,0.67,0.67,0.66,0.6,21.55,1.0,0.94,1.07,0.94,1.06,1.1,1.09,0.75,0.6,0.89
h_1,0.92,0.54,1.15,0.59,0.74,0.69,3.87,1.8,1.21,0.87,1.01,1.14,0.72,1.59,1.2,1.34
g_1,2.06,0.55,0.71,0.59,0.66,0.62,0.95,4.8,1.0,0.58,1.04,1.66,0.95,0.79,1.27,1.31
c_0,0.96,0.77,0.98,0.49,0.47,0.64,1.21,1.1,2.54,1.03,3.48,1.16,1.27,1.25,1.83,1.15
d_0,0.48,0.61,0.86,2.33,0.62,0.66,1.14,0.95,0.56,2.28,0.87,1.11,1.11,1.23,1.16,1.32
b_0,0.89,0.71,0.96,0.97,0.43,0.42,1.19,1.13,1.14,1.2,2.94,1.0,1.36,1.28,3.51,1.26
f_0,1.05,0.61,0.54,0.92,0.65,0.67,1.16,1.23,1.09,1.06,1.25,2.77,1.29,1.25,1.14,3.05
h_0,0.93,0.71,1.39,0.8,0.55,0.65,0.67,1.5,0.95,0.99,1.05,0.82,0.7,1.86,0.89,1.23
g_0,1.51,0.62,0.65,0.68,0.63,0.86,1.05,0.76,1.19,0.93,1.16,2.25,1.03,0.92,1.15,1.37
a_0,0.9,0.62,0.85,1.11,0.83,0.34,0.91,1.22,0.93,0.98,1.03,1.12,1.6,1.39,3.67,1.17
e_0,0.86,0.45,0.95,0.81,0.72,0.72,1.29,1.15,0.93,0.91,1.21,1.34,1.53,1.21,1.31,3.64
