,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.4,0.63,0.53,0.61,0.58,0.52,0.26,0.25,0.29,0.35,0.29,0.27,0.23,0.19,0.22,0.23
e_1,0.41,0.4,0.61,0.7,0.63,0.61,0.31,0.28,0.32,0.36,0.28,0.34,0.27,0.23,0.34,0.25
d_1,0.68,0.63,0.38,0.57,0.56,0.54,0.33,0.27,0.31,0.23,0.26,0.27,0.25,0.22,0.27,0.17
c_1,0.61,0.48,0.69,0.38,0.67,0.56,0.31,0.32,0.18,0.31,0.24,0.27,0.26,0.22,0.26,0.22
b_1,0.62,0.58,0.66,0.41,0.36,0.71,0.36,0.32,0.25,0.34,0.35,0.27,0.29,0.25,0.27,0.25
a_1,0.64,0.68,0.65,0.59,0.38,0.31,0.38,0.29,0.3,0.33,0.33,0.28,0.33,0.23,0.27,0.24
h_1,0.6,0.57,0.55,0.58,0.57,0.51,0.23,0.25,0.29,0.3,0.25,0.25,0.24,0.27,0.24,0.21
c_0,0.6,0.63,0.41,0.67,0.58,0.53,0.31,0.22,0.34,0.3,0.29,0.26,0.26,0.22,0.26,0.2
d_0,0.51,0.41,0.7,0.72,0.63,0.57,0.3,0.27,0.23,0.36,0.25,0.28,0.26,0.23,0.27,0.25
g_1,0.58,0.53,0.65,0.64,0.56,0.52,0.26,0.26,0.27,0.21,0.24,0.28,0.25,0.19,0.24,0.26
b_0,0.55,0.59,0.49,0.79,0.61,0.52,0.28,0.19,0.31,0.31,0.22,0.26,0.27,0.21,0.24,0.21
f_0,0.72,0.53,0.53,0.58,0.56,0.52,0.3,0.27,0.28,0.21,0.25,0.2,0.26,0.21,0.29,0.17
a_0,0.6,0.57,0.52,0.57,0.66,0.53,0.28,0.22,0.27,0.29,0.18,0.28,0.19,0.23,0.27,0.22
h_0,0.62,0.55,0.57,0.58,0.54,0.52,0.31,0.26,0.28,0.33,0.26,0.25,0.23,0.25,0.22,0.22
e_0,0.77,0.64,0.52,0.55,0.52,0.52,0.31,0.26,0.3,0.27,0.28,0.16,0.26,0.2,0.18,0.18
g_0,0.62,0.54,0.57,0.64,0.5,0.54,0.27,0.24,0.27,0.3,0.24,0.25,0.22,0.18,0.25,0.23
