,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,1.17,1.18,1.59,3.05,15.64,30.16,33.94,30.82,38.56,47.99,61.63,74.43,76.74,108.92
e_1,0.76,1.0,1.43,1.09,1.6,3.09,17.73,35.29,42.25,33.2,40.3,54.65,69.08,73.86,98.98,115.06
c_1,0.83,0.72,1.0,1.2,1.74,2.98,14.8,24.25,19.4,21.74,27.57,37.19,61.21,63.5,82.5,84.65
d_1,0.83,0.92,0.84,1.0,1.4,2.56,14.35,19.27,24.36,35.65,37.75,40.87,59.23,73.21,87.58,71.39
b_1,0.63,0.62,0.59,0.7,1.0,3.25,11.3,19.25,20.16,24.94,24.21,31.43,43.47,47.69,63.54,66.39
a_1,0.34,0.32,0.33,0.39,0.31,1.0,5.92,8.73,8.74,9.08,13.19,12.64,20.8,21.12,24.93,25.98
h_1,0.06,0.05,0.07,0.07,0.09,0.17,1.0,1.96,1.71,1.83,2.29,2.42,4.43,4.28,5.34,7.62
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.52,1.0,1.01,1.11,1.35,1.99,2.09,3.1,3.63,3.32
d_0,0.03,0.02,0.06,0.04,0.05,0.1,0.56,0.99,1.0,0.86,1.28,1.45,2.48,2.5,3.19,3.93
c_0,0.03,0.03,0.04,0.03,0.04,0.11,0.57,0.87,1.13,1.0,1.63,1.44,2.22,2.68,3.38,2.89
b_0,0.03,0.02,0.04,0.03,0.04,0.08,0.46,0.74,0.76,0.61,1.0,1.18,1.95,2.55,2.45,2.83
f_0,0.02,0.02,0.03,0.02,0.03,0.07,0.41,0.51,0.67,0.66,0.79,1.0,1.47,1.45,2.81,1.9
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.22,0.49,0.4,0.45,0.5,0.69,1.0,1.04,1.16,1.64
a_0,0.01,0.01,0.02,0.01,0.02,0.05,0.24,0.32,0.36,0.39,0.39,0.69,0.92,1.0,1.13,1.31
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.29,0.33,0.31,0.41,0.38,0.89,0.92,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.14,0.31,0.25,0.33,0.37,0.53,0.6,0.74,0.91,1.0
