,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.27,1.15,1.48,2.15,3.59,16.1,29.18,33.68,30.69,54.69,63.63,80.08,90.61,93.32,164.5
e_1,0.8,1.0,1.11,1.53,1.75,3.58,20.42,39.57,31.47,33.12,48.69,81.01,100.62,126.3,112.58,167.28
d_1,0.88,0.87,1.0,0.97,1.39,2.91,14.42,25.28,20.6,36.11,44.78,53.0,84.14,86.47,90.72,96.58
c_1,0.67,0.65,1.05,1.0,1.8,2.42,14.09,15.87,22.36,20.68,34.78,49.5,69.81,78.75,71.05,103.91
b_1,0.46,0.57,0.71,0.57,1.0,2.94,10.73,13.97,16.19,17.51,28.03,34.51,48.55,46.64,49.65,78.97
a_1,0.28,0.28,0.34,0.41,0.34,1.0,5.37,8.08,9.44,9.07,18.11,21.53,27.27,33.98,36.83,46.36
h_1,0.06,0.05,0.07,0.07,0.1,0.18,1.0,1.5,2.15,1.71,2.77,3.51,5.07,5.66,5.31,9.07
d_0,0.03,0.03,0.04,0.06,0.08,0.12,0.67,1.0,1.1,1.05,1.63,2.63,3.33,4.06,3.59,5.72
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.47,0.91,1.0,0.94,1.76,2.64,2.76,3.32,3.52,4.3
c_0,0.03,0.03,0.03,0.05,0.06,0.11,0.6,0.99,1.08,1.0,2.12,2.17,2.9,3.06,3.62,4.56
b_0,0.02,0.02,0.02,0.03,0.04,0.05,0.37,0.57,0.6,0.46,1.0,1.35,1.72,2.02,2.71,2.68
f_0,0.02,0.01,0.02,0.02,0.03,0.05,0.27,0.38,0.38,0.47,0.78,1.0,1.46,2.02,1.46,1.84
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.3,0.36,0.34,0.58,0.67,1.0,1.18,1.08,1.68
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.24,0.3,0.29,0.51,0.5,0.82,1.0,0.99,1.59
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.27,0.29,0.28,0.38,0.68,0.88,1.04,1.0,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.17,0.23,0.21,0.36,0.55,0.58,0.66,0.79,1.0
