,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.3,0.84,1.29,0.69,0.77,0.6,1.38,1.68,1.58,1.35,1.72,0.79,1.4,2.05,1.1,1.79
c_1,0.86,2.41,0.75,1.46,0.77,0.6,1.25,1.74,0.75,1.32,0.95,1.43,1.16,1.94,1.25,1.8
e_1,0.99,1.07,2.42,0.8,0.61,0.55,1.61,3.16,1.6,1.25,1.67,1.53,1.43,2.14,0.71,1.9
b_1,0.87,0.82,0.76,2.48,0.79,1.23,1.55,1.54,1.49,1.34,0.99,1.5,1.03,1.83,1.56,1.68
d_1,0.83,0.59,0.85,0.75,2.55,0.72,1.45,1.18,3.12,1.36,2.17,2.03,1.62,2.17,1.58,2.14
a_1,0.94,0.84,0.89,0.72,0.91,3.02,1.53,1.55,1.55,1.26,1.69,1.72,0.82,1.93,1.48,1.98
h_1,1.22,1.1,0.85,0.83,0.92,0.63,3.44,1.81,1.65,1.89,1.7,1.57,1.51,1.68,1.31,2.66
d_0,1.03,1.62,0.82,1.0,0.56,0.52,1.59,2.86,1.19,1.31,1.34,1.66,1.43,2.58,1.71,1.93
c_0,1.01,0.74,0.94,0.67,0.99,0.73,1.76,1.96,3.33,1.46,3.56,2.06,2.34,2.61,1.84,2.18
g_1,0.92,0.91,0.83,0.8,1.46,0.57,1.3,1.55,1.97,3.67,1.7,2.43,1.59,2.35,1.47,1.56
b_0,1.15,1.01,0.88,0.57,0.96,0.57,1.75,2.13,2.1,1.52,3.29,1.72,3.71,2.47,1.63,2.34
f_0,0.93,1.05,0.78,0.94,0.89,0.79,1.78,2.21,2.17,1.36,1.83,3.34,1.82,2.43,3.04,2.18
a_0,1.2,1.06,1.01,0.82,0.84,0.54,1.74,2.2,1.64,1.63,2.0,1.74,3.56,2.86,1.72,2.01
h_0,1.38,0.95,0.8,0.89,0.93,0.69,1.06,1.97,1.58,1.93,1.8,1.59,1.73,1.7,1.73,2.59
e_0,1.2,0.9,0.56,0.92,1.02,0.75,1.9,1.53,1.91,1.48,1.81,1.77,1.8,2.56,3.57,2.58
g_0,0.86,0.87,0.71,0.85,1.37,0.81,1.81,1.89,2.08,1.03,1.95,2.76,1.61,2.56,2.19,1.85
