,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,0.97,0.9,0.87,0.85,0.75,0.34,0.35,0.4,0.32,0.33,0.36,0.21,0.3,0.31,0.29
e_1,0.73,0.65,1.05,0.93,1.02,0.93,0.43,0.44,0.45,0.35,0.34,0.42,0.26,0.33,0.42,0.3
c_1,1.01,0.83,0.64,1.07,1.07,0.89,0.44,0.25,0.4,0.38,0.32,0.32,0.31,0.32,0.28,0.28
d_1,1.13,1.07,0.98,0.63,0.92,0.83,0.42,0.42,0.33,0.4,0.38,0.34,0.27,0.35,0.29,0.21
b_1,1.14,1.07,0.71,1.13,0.61,1.18,0.51,0.37,0.44,0.44,0.46,0.36,0.34,0.33,0.33,0.28
a_1,1.53,1.21,1.21,1.2,0.72,0.56,0.6,0.47,0.56,0.51,0.57,0.44,0.39,0.49,0.4,0.36
h_1,1.6,1.52,1.64,1.52,1.45,1.24,0.54,0.62,0.66,0.55,0.56,0.5,0.5,0.53,0.54,0.48
d_0,1.61,1.18,2.18,1.88,1.81,1.63,0.78,0.56,0.89,0.58,0.63,0.59,0.57,0.62,0.69,0.5
g_1,1.91,1.63,1.81,1.83,1.67,1.41,0.71,0.61,0.51,0.63,0.61,0.6,0.42,0.63,0.51,0.57
c_0,1.82,1.78,2.36,1.21,1.74,1.58,0.78,0.83,0.73,0.54,0.77,0.69,0.63,0.69,0.58,0.51
b_0,1.85,1.79,2.24,1.49,2.04,1.46,0.8,0.68,0.76,0.42,0.53,0.65,0.57,0.82,0.61,0.5
f_0,2.2,1.73,1.97,2.0,1.75,1.71,0.9,0.72,0.61,0.7,0.64,0.53,0.59,0.74,0.82,0.39
h_0,2.38,2.03,1.84,1.92,1.8,1.8,1.0,0.7,0.88,0.67,0.7,0.61,0.7,0.62,0.62,0.58
a_0,2.06,2.08,2.26,1.98,2.19,1.97,0.87,0.72,0.8,0.6,0.46,0.62,0.65,0.51,0.63,0.61
e_0,2.32,2.17,2.59,2.25,2.13,1.69,0.88,0.68,0.87,0.75,0.73,0.43,0.64,0.76,0.53,0.48
g_0,2.1,2.18,2.22,2.35,2.14,1.83,0.81,0.84,1.0,0.83,0.85,0.86,0.58,0.74,0.77,0.69
