,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,6.1,3.22,2.52,3.5,2.79,2.93,9.48,21.78,12.3,10.71,12.83,13.58,21.79,12.49,19.64,10.15
f_1,4.47,6.47,2.73,2.64,2.53,2.38,9.68,13.67,11.73,11.19,13.34,9.75,19.64,11.21,19.36,12.66
d_1,2.99,3.15,6.48,2.52,2.65,2.85,10.5,8.28,21.81,9.68,16.3,14.36,20.25,15.2,22.06,14.69
c_1,2.6,2.78,2.64,6.9,4.78,3.08,9.22,12.65,8.46,8.76,9.5,12.28,21.2,11.68,21.69,16.72
b_1,2.53,2.52,3.04,2.87,7.56,5.92,10.46,11.63,11.57,9.49,9.52,14.35,18.85,12.35,20.66,15.83
a_1,2.41,2.98,2.73,3.19,3.06,10.75,12.6,13.71,13.32,10.2,14.86,16.2,21.97,13.27,20.0,16.93
h_1,2.84,3.87,3.52,2.98,2.72,2.51,18.92,13.19,14.23,14.72,13.89,14.38,15.28,14.79,26.22,17.31
d_0,2.77,3.02,2.39,4.94,3.55,2.89,10.14,18.92,8.76,12.28,12.31,14.15,22.58,12.19,21.41,16.89
c_0,3.07,3.1,3.43,2.51,2.76,3.06,12.42,13.03,19.09,13.14,25.49,16.47,20.5,22.45,23.18,18.33
g_1,3.08,3.19,3.84,2.91,2.78,2.71,11.12,13.8,13.93,22.2,14.85,21.23,17.34,15.15,18.22,19.74
b_0,3.4,3.4,3.15,2.97,2.44,2.7,11.41,12.98,13.96,13.13,22.36,16.52,24.67,29.65,22.64,17.21
f_0,2.56,3.09,3.24,3.42,3.37,3.28,14.15,13.18,14.65,11.75,14.33,25.39,22.3,18.92,25.04,33.05
h_0,3.04,4.08,3.23,2.84,3.14,2.68,8.94,13.78,13.27,14.84,13.12,15.96,17.97,15.08,27.83,15.11
a_0,3.26,3.36,3.28,3.11,3.0,2.5,11.94,12.02,13.38,14.01,15.33,14.72,22.46,30.61,25.85,16.98
g_0,2.72,2.8,4.56,2.97,3.24,2.42,10.07,11.72,14.87,9.41,14.12,21.72,22.26,16.95,16.28,16.54
e_0,2.58,3.22,3.5,3.04,3.03,3.2,13.3,10.34,15.34,13.58,14.22,15.79,23.74,15.88,25.93,32.01
