,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.77,0.82,0.96,0.81,0.97,0.72,1.02,0.68,0.6,0.73,0.65,0.68,0.69,0.59,0.79
f_1,1.3,1.0,0.9,0.95,0.95,0.77,0.66,0.61,0.65,0.68,0.49,0.51,0.53,0.47,0.58,0.36
d_1,1.22,1.11,1.0,0.83,0.84,0.87,0.72,0.68,0.51,0.91,0.61,0.64,0.61,0.57,0.45,0.58
c_1,1.04,1.06,1.21,1.0,1.33,0.73,0.71,0.46,0.73,0.51,0.62,0.56,0.54,0.58,0.45,0.53
b_1,1.23,1.05,1.18,0.75,1.0,1.37,0.83,0.57,0.85,0.56,1.04,0.79,0.65,0.84,0.62,0.74
a_1,1.04,1.3,1.14,1.36,0.73,1.0,0.93,0.79,0.83,0.74,0.86,0.74,0.77,0.73,0.98,0.66
h_1,1.38,1.55,1.42,1.41,1.2,1.04,1.0,0.8,1.12,0.95,0.88,0.9,0.77,0.69,0.87,0.88
d_0,0.91,1.73,1.34,2.2,1.78,1.32,1.23,1.0,1.06,0.79,0.93,0.88,0.76,0.82,0.83,0.9
g_1,1.42,1.46,1.93,1.41,1.2,1.21,0.89,0.9,1.0,1.02,0.92,1.33,0.93,0.67,1.15,0.94
c_0,1.7,1.52,1.14,1.93,1.83,1.24,1.1,1.24,0.97,1.0,1.35,1.09,0.85,1.06,1.06,0.85
b_0,1.32,2.1,1.71,1.68,,1.09,1.14,1.13,1.1,0.7,1.0,0.93,1.17,0.92,0.91,1.03
f_0,1.5,2.16,1.58,1.75,1.27,1.28,1.1,1.16,0.75,0.89,1.0,1.0,1.02,0.97,0.83,1.42
a_0,1.4,1.9,1.62,2.03,1.64,,1.28,1.4,1.13,1.21,0.82,0.97,1.0,1.11,1.01,1.11
h_0,1.46,2.19,1.72,1.75,1.29,1.42,1.37,1.23,1.48,0.92,1.06,0.98,0.92,1.0,1.27,0.87
g_0,1.69,1.75,2.13,2.19,1.55,1.01,1.15,1.17,,0.9,1.13,1.24,0.99,0.81,1.0,0.85
e_0,1.24,2.76,1.74,1.78,1.48,1.45,1.17,1.12,1.04,1.2,1.0,0.72,0.94,1.14,1.11,1.0
