,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.39,0.94,1.01,0.93,0.81,0.81,1.09,0.89,0.8,0.9,1.04,0.87,0.87,1.0,0.76
e_1,0.72,1.0,1.03,1.1,1.08,1.13,0.95,1.06,1.54,1.08,1.13,1.17,0.94,1.09,1.12,1.09
d_1,1.07,0.97,1.0,1.0,1.03,0.91,1.1,0.86,0.98,1.24,1.08,0.95,1.05,0.97,0.77,1.02
c_1,1.0,0.92,1.01,1.0,1.3,0.98,1.06,0.93,0.68,0.89,0.78,1.04,0.96,1.12,0.94,0.93
b_1,1.07,0.92,0.97,0.77,1.0,1.42,1.17,1.01,1.02,1.1,0.94,0.91,1.11,0.82,1.17,1.1
a_1,1.23,0.89,1.11,1.01,0.71,1.0,1.19,1.13,1.02,1.09,1.12,1.07,1.27,1.2,0.98,1.04
h_1,1.25,0.99,0.95,0.92,0.86,0.82,1.0,1.17,1.0,1.0,0.94,0.87,0.99,0.9,1.37,1.04
g_1,0.9,0.98,1.19,1.08,0.96,0.9,0.87,1.0,1.06,0.95,0.96,1.25,0.85,1.03,0.99,0.99
d_0,1.07,0.65,1.08,1.5,0.95,0.98,1.03,0.9,1.0,0.85,1.03,0.9,1.0,1.01,1.09,1.21
c_0,1.27,0.95,0.81,1.1,0.84,0.88,0.97,1.07,1.04,1.0,1.4,0.8,1.18,1.19,1.13,1.2
b_0,1.19,0.84,0.9,1.29,1.03,0.86,1.09,1.08,0.95,0.7,1.0,0.92,0.99,1.35,1.01,1.06
f_0,1.01,0.81,1.09,1.01,1.05,1.01,1.1,0.74,1.07,1.24,1.07,1.0,1.03,0.93,0.89,1.55
h_0,1.19,1.04,0.96,1.01,0.9,0.77,1.02,1.18,0.98,0.84,0.98,0.93,1.0,0.97,1.21,0.85
a_0,1.22,0.91,1.04,0.89,1.11,0.88,1.09,0.96,1.05,0.82,0.75,1.06,1.02,1.0,1.04,1.02
g_0,0.95,0.89,1.24,1.09,0.94,0.97,0.7,1.03,0.97,0.9,1.0,1.15,0.83,0.94,1.0,0.96
e_0,1.38,0.88,0.93,1.08,0.95,1.0,1.0,1.08,0.9,0.82,1.01,0.65,1.17,1.02,1.03,1.0
