,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.26,0.6,0.5,0.74,0.49,0.42,1.03,0.93,2.2,1.2,1.16,0.98,1.26,1.62,0.46,1.01
f_1,1.04,2.31,0.53,0.52,0.43,0.37,0.94,0.7,1.07,1.07,1.11,0.43,0.86,1.21,0.67,1.12
d_1,0.51,0.61,2.43,0.44,0.49,0.41,1.16,1.05,0.73,2.27,1.41,1.2,1.08,1.43,1.06,1.55
c_1,0.56,0.54,0.58,2.45,1.0,0.37,1.02,0.91,1.05,0.47,0.75,0.91,1.0,1.29,0.94,1.11
b_1,0.56,0.65,0.56,0.51,2.6,0.82,0.91,1.05,1.08,0.76,0.48,1.04,0.71,1.65,0.85,1.26
a_1,0.57,0.63,0.53,0.54,0.54,3.12,1.09,1.05,1.01,1.22,1.19,1.06,0.75,1.68,1.2,1.28
h_1,0.63,1.0,0.72,0.7,0.59,0.41,3.08,1.65,1.19,1.24,1.31,1.3,1.24,1.03,1.2,2.18
g_1,0.68,0.55,1.05,0.74,0.59,0.4,1.27,3.36,1.51,1.3,1.22,1.99,1.23,1.96,1.22,0.9
d_0,0.76,0.66,0.45,1.28,0.63,0.46,1.27,1.16,2.68,1.02,1.23,1.28,1.27,1.73,1.34,1.41
c_0,0.77,0.7,0.74,0.51,0.53,0.47,1.32,1.2,1.6,2.93,2.96,1.74,1.76,2.19,1.29,1.73
b_0,0.76,0.76,0.72,0.76,0.38,0.38,1.28,1.18,1.57,1.48,3.08,1.49,2.95,2.02,1.27,1.52
f_0,0.61,0.42,0.74,0.71,0.52,0.75,1.2,1.2,1.86,1.71,1.32,3.2,1.62,2.21,3.0,1.79
a_0,0.74,0.83,0.74,0.65,0.71,0.28,1.47,1.02,1.52,1.45,1.5,1.58,2.84,1.95,1.56,1.72
h_0,0.66,1.03,0.77,0.75,0.58,0.5,0.8,1.19,1.31,1.23,1.34,1.16,1.07,1.14,1.44,2.06
e_0,0.53,0.87,0.75,0.77,0.59,0.53,1.68,1.17,1.32,1.32,1.4,1.48,1.26,1.89,3.13,1.9
g_0,0.54,0.71,1.25,0.69,0.51,0.44,1.19,0.94,1.17,1.55,1.25,2.19,1.12,1.7,1.44,1.08
