,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.5,0.23,0.15,0.16,0.17,0.15,0.22,0.2,0.26,0.18,,0.19,0.2,0.13,0.15,0.16
e_1,0.16,1.5,0.19,0.16,0.14,0.16,0.19,0.12,0.29,0.19,0.22,0.19,0.22,,0.14,0.19
c_1,0.18,0.16,1.52,0.14,0.25,0.11,0.21,0.22,0.16,,0.18,0.12,0.28,0.2,0.14,0.25
d_1,0.18,0.17,0.18,1.53,0.18,,0.21,0.16,,0.36,0.16,0.19,0.26,0.14,0.13,0.16
b_1,0.18,0.19,0.17,0.15,1.58,0.25,0.24,0.17,0.24,0.22,0.2,,0.2,0.15,0.16,0.15
a_1,0.2,0.18,0.2,,0.13,1.77,0.22,0.18,0.22,,0.25,0.22,0.22,,,
h_1,0.46,0.42,0.4,0.37,0.32,0.33,1.64,0.56,0.46,0.46,0.52,0.36,,0.42,0.32,0.52
g_1,0.38,0.43,0.32,0.54,0.38,0.32,0.42,1.73,0.53,0.4,0.86,0.54,0.31,0.34,0.32,
d_0,0.47,0.42,0.73,,0.41,0.37,0.65,0.4,1.37,0.54,0.5,0.53,0.64,0.35,0.67,0.52
c_0,0.62,0.49,,0.38,0.31,,0.48,0.54,0.56,1.44,0.58,0.92,0.66,0.42,0.38,0.59
f_0,,0.46,0.53,0.6,0.41,0.33,0.44,0.3,0.65,0.57,1.47,0.48,0.72,0.86,,0.54
b_0,0.44,0.47,0.56,0.48,,0.34,0.57,0.5,0.58,0.46,0.51,1.49,0.92,,0.82,0.46
h_0,0.67,0.55,0.52,0.6,0.61,0.44,,1.05,0.68,0.67,0.61,0.48,,0.72,0.74,0.91
e_0,0.55,,0.41,0.48,0.54,,0.55,0.56,0.73,0.76,0.43,,0.39,1.61,0.6,0.69
a_0,0.4,0.6,0.54,0.65,0.37,,0.57,0.51,0.5,0.52,,0.44,0.7,0.49,1.62,0.8
g_0,0.67,0.59,0.5,0.87,0.65,,0.65,,0.69,0.68,0.89,0.74,0.69,0.67,0.51,
