,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.4,0.57,0.42,0.73,0.62,0.55,0.32,0.34,0.27,0.35,0.34,0.28,0.24,0.29,0.32,0.25
d_1,0.65,0.39,0.61,0.6,0.6,0.54,0.31,0.23,0.29,0.31,0.27,0.25,0.22,0.27,0.26,0.17
f_1,0.64,0.58,0.39,0.56,0.59,0.54,0.26,0.35,0.25,0.27,0.3,0.25,0.19,0.26,0.23,0.26
c_1,0.46,0.68,0.61,0.38,0.67,0.59,0.31,0.36,0.32,0.18,0.26,0.25,0.23,0.23,0.27,0.2
b_1,0.6,0.63,0.69,0.4,0.37,0.65,0.35,0.35,0.31,0.26,0.25,0.31,0.24,0.26,0.29,0.23
a_1,0.64,0.66,0.69,0.56,0.38,0.31,0.36,0.34,0.32,0.32,0.29,0.4,0.23,0.36,0.28,0.23
h_1,0.53,0.57,0.61,0.58,0.54,0.51,0.24,0.3,0.24,0.26,0.25,0.26,0.25,0.22,0.22,0.23
g_1,0.57,0.57,0.57,0.59,0.54,0.5,0.27,0.21,0.25,0.28,0.25,0.26,0.18,0.24,0.24,0.25
c_0,0.62,0.41,0.59,0.73,0.69,0.53,0.31,0.28,0.22,0.39,0.27,0.3,0.25,0.28,0.26,0.21
d_0,0.39,0.72,0.54,0.72,0.59,0.5,0.32,0.34,0.23,0.22,0.27,0.29,0.23,0.25,0.26,0.26
f_0,0.53,0.54,0.7,0.56,0.6,0.52,0.29,0.24,0.25,0.28,0.2,0.24,0.22,0.23,0.28,0.17
b_0,0.52,0.52,0.57,0.8,0.66,0.48,0.28,0.26,0.17,0.27,0.25,0.2,0.22,0.28,0.24,0.21
h_0,0.56,0.57,0.62,0.54,0.52,0.55,0.32,0.34,0.24,0.28,0.24,0.23,0.25,0.24,0.22,0.24
a_0,0.59,0.52,0.56,0.68,0.66,0.57,0.32,0.3,0.22,0.27,0.26,0.16,0.24,0.19,0.28,0.24
e_0,0.63,0.56,0.74,0.58,0.5,0.5,0.31,0.29,0.26,0.26,0.17,0.26,0.22,0.24,0.18,0.2
g_0,0.56,0.59,0.59,0.56,0.55,0.58,0.24,0.31,0.26,0.27,0.26,0.25,0.18,0.21,0.24,0.23
