,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.7,0.91,1.06,0.95,0.8,0.44,0.45,0.42,0.34,0.34,0.43,0.28,0.33,0.28,0.39
f_1,1.01,0.65,0.87,0.98,0.84,0.81,0.35,0.43,0.38,0.31,0.34,0.37,0.22,0.33,0.27,0.28
d_1,1.07,1.05,0.63,0.96,0.87,0.85,0.44,0.34,0.45,0.42,0.35,0.36,0.28,0.3,0.22,0.3
c_1,0.85,1.02,1.08,0.63,1.14,0.91,0.45,0.44,0.25,0.38,0.32,0.33,0.3,0.32,0.28,0.31
b_1,1.04,1.18,1.16,0.7,0.61,1.12,0.47,0.5,0.36,0.47,0.5,0.38,0.32,0.39,0.35,0.32
a_1,1.35,1.3,1.3,1.24,0.76,0.56,0.68,0.54,0.55,0.48,0.6,0.47,0.38,0.55,0.36,0.4
h_1,1.58,1.82,1.47,1.55,1.44,1.35,0.53,0.68,0.6,0.52,0.53,0.54,0.5,0.5,0.47,0.46
g_1,1.71,1.7,1.85,1.69,1.52,1.64,0.64,0.51,0.61,0.58,0.53,0.63,0.39,0.52,0.48,0.5
d_0,1.27,1.62,1.9,1.95,1.9,1.41,0.78,0.85,0.56,0.59,0.63,0.66,0.6,0.57,0.59,0.57
c_0,1.79,1.94,1.24,2.04,1.66,1.48,0.86,0.84,0.77,0.55,0.79,0.65,0.54,0.61,0.51,0.61
b_0,1.79,1.87,1.54,2.63,1.93,1.44,0.77,0.78,0.73,0.44,0.52,0.66,0.51,0.69,0.47,0.59
f_0,1.74,2.27,1.85,1.82,1.76,1.52,0.84,0.6,0.7,0.7,0.63,0.51,0.55,0.64,0.41,0.72
h_0,2.08,2.19,1.91,2.1,1.89,1.52,0.98,0.95,0.69,0.7,0.74,0.67,0.68,0.63,0.64,0.58
a_0,1.94,2.14,2.0,2.28,2.3,2.14,0.97,0.96,0.84,0.66,0.52,0.81,0.68,0.51,0.6,0.61
g_0,2.26,2.56,2.28,2.35,2.04,1.69,0.82,1.01,0.8,0.75,0.73,0.82,0.52,0.73,0.65,0.64
e_0,2.51,3.13,2.1,2.22,2.19,2.0,1.03,0.84,0.79,0.72,0.8,0.53,0.7,0.72,0.57,0.51
