,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.09,0.92,0.84,0.79,0.49,0.45,0.59,0.41,0.4,0.44,0.35,0.34,0.31,0.32
f_1,1.3,1.0,1.01,0.97,0.86,0.71,0.37,0.46,0.43,0.44,0.41,0.34,0.32,0.3,0.27,0.35
c_1,0.88,0.98,1.0,1.02,1.29,0.81,0.56,0.47,0.33,0.38,0.35,0.43,0.35,0.35,0.33,0.34
d_1,1.09,1.05,0.98,1.0,0.97,0.79,0.54,0.4,0.51,0.48,0.55,0.41,0.35,0.34,0.35,0.26
b_1,1.18,1.16,0.81,1.03,1.0,1.26,0.54,0.5,0.42,0.46,0.51,0.39,0.31,0.42,0.36,0.39
a_1,1.26,1.38,1.24,1.25,0.8,1.0,0.8,0.7,0.57,0.66,0.53,0.51,0.51,0.5,0.51,0.43
h_1,2.03,2.76,1.86,1.86,1.82,1.23,1.0,1.01,0.84,0.83,0.83,0.73,0.71,0.73,0.7,0.8
g_1,2.21,2.11,2.13,2.54,1.92,1.45,1.0,1.0,0.9,0.97,0.94,1.05,0.77,0.65,0.81,0.74
d_0,1.74,2.26,3.03,2.09,2.27,1.79,1.15,1.09,1.0,1.05,0.82,0.95,0.82,0.87,0.8,0.72
b_0,2.25,2.3,2.75,2.09,2.19,1.56,1.21,0.99,0.99,1.0,0.79,0.96,1.17,0.84,0.77,0.72
c_0,2.62,2.51,2.75,1.77,1.93,1.98,1.22,1.0,1.29,1.31,1.0,0.96,0.91,0.91,0.84,0.77
f_0,2.33,2.86,2.31,2.37,2.56,1.98,1.31,0.93,1.06,1.06,1.04,0.99,0.96,0.93,1.19,0.65
a_0,2.79,3.21,2.72,2.81,3.32,1.88,1.37,1.28,1.3,0.88,1.04,1.04,1.0,1.1,0.83,0.95
h_0,2.9,3.3,2.77,2.88,2.48,1.97,1.35,1.51,1.13,1.13,1.09,1.06,0.92,1.0,0.81,1.04
e_0,3.08,3.91,2.98,2.73,2.76,2.0,1.35,1.13,1.28,1.42,1.21,0.85,1.29,1.23,1.0,1.03
g_0,3.13,2.83,2.91,3.77,2.71,2.28,1.3,1.33,1.42,1.4,1.28,1.47,1.09,0.94,0.98,1.0
