,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.07,8.04,4.84,9.55,9.43,7.78,3.75,3.62,2.55,2.04,2.99,3.05,3.1,,2.67,2.51
d_1,10.97,1.07,9.56,8.9,8.08,12.6,3.47,2.31,,3.23,2.08,2.47,2.35,2.91,2.18,1.17
f_1,13.49,8.93,1.07,9.69,9.3,7.02,2.5,4.21,3.34,2.89,,2.15,1.39,2.69,2.21,2.03
c_1,9.99,11.62,10.83,1.07,13.43,7.01,4.11,4.23,1.8,,3.36,2.68,2.83,2.7,2.86,1.91
b_1,11.24,10.83,11.76,6.94,1.07,11.87,3.85,3.75,3.83,4.39,2.93,,2.61,2.68,,3.11
a_1,14.94,12.01,18.75,15.01,9.49,1.07,5.99,4.81,3.56,4.49,4.58,4.06,2.88,3.79,,3.44
h_1,13.4,14.93,15.7,14.68,11.62,10.28,1.41,6.95,3.95,4.8,3.15,3.1,,5.05,3.88,3.41
g_1,13.8,15.3,14.96,12.47,14.3,13.28,3.99,1.41,5.36,4.4,8.82,5.38,2.47,3.4,4.28,
d_0,10.42,,13.04,13.74,11.43,17.99,5.51,4.86,1.73,5.26,3.5,3.62,3.38,4.14,3.18,3.27
c_0,16.69,9.54,15.88,,11.12,15.9,5.17,5.08,4.95,1.69,5.59,5.24,3.09,3.52,3.69,3.49
f_0,16.16,19.74,,15.7,15.93,14.53,9.24,3.79,5.07,3.72,1.69,5.6,3.49,6.13,3.78,2.56
b_0,19.32,16.07,17.17,19.4,,14.57,8.59,5.6,6.07,3.5,4.48,1.72,2.65,2.79,4.53,3.71
h_0,14.8,17.36,23.28,13.48,15.72,15.22,,7.67,4.74,4.11,4.04,5.91,,3.75,4.34,2.73
e_0,,20.73,29.64,26.18,26.79,16.12,5.86,7.1,5.81,7.73,4.47,8.74,4.89,1.69,,4.37
a_0,20.2,27.12,23.76,23.47,,,9.43,9.34,7.98,7.61,6.36,3.7,5.91,,1.74,4.65
g_0,20.09,28.99,19.52,21.72,20.2,14.84,4.89,,6.66,6.68,6.33,6.92,3.9,4.25,6.04,
