,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.75,0.89,1.1,0.88,0.58,0.53,0.42,0.65,0.39,0.43,0.43,0.4,0.41,0.39,0.34
f_1,1.33,1.0,0.91,0.84,0.78,0.72,0.4,0.46,0.39,0.44,0.31,0.4,0.33,0.28,0.32,0.27
d_1,1.12,1.1,1.0,0.95,0.92,0.76,0.52,0.34,0.43,0.56,0.42,0.44,0.37,0.31,0.26,0.24
c_1,0.91,1.19,1.05,1.0,1.33,0.82,0.56,0.5,0.33,0.32,0.37,0.37,0.4,0.29,0.35,0.33
b_1,1.14,1.29,1.09,0.75,1.0,1.14,0.59,0.6,0.48,0.54,0.48,0.42,0.43,0.44,0.35,0.41
a_1,1.73,1.39,1.32,1.21,0.88,1.0,0.72,0.53,0.48,0.55,0.53,0.5,0.4,0.44,0.43,0.37
h_1,1.91,2.55,1.92,1.87,1.66,1.39,1.0,1.18,0.89,0.87,0.78,0.78,0.64,0.64,0.71,0.65
g_1,2.28,2.27,2.88,1.94,1.6,1.79,0.86,1.0,0.87,0.91,1.17,0.87,0.63,0.67,0.65,0.75
d_0,1.54,2.52,2.08,3.24,2.1,2.01,1.11,1.09,1.0,0.97,0.94,0.91,0.73,0.82,0.78,0.83
c_0,2.62,2.28,1.86,2.99,1.83,1.9,1.13,1.06,1.08,1.0,1.16,1.3,0.89,0.79,0.78,0.89
f_0,2.23,2.92,2.27,2.77,1.99,1.97,1.3,0.82,1.1,0.92,1.0,1.02,0.8,1.16,0.71,0.79
b_0,2.24,2.41,2.41,2.72,2.49,1.95,1.26,1.1,1.12,0.78,0.99,1.0,0.93,1.02,0.89,1.14
h_0,2.5,3.18,2.81,2.72,2.31,2.34,1.53,1.59,1.38,1.14,1.19,1.11,1.0,0.87,1.06,0.9
e_0,2.4,3.85,3.32,3.33,2.28,2.43,1.53,1.48,1.2,1.13,0.88,1.0,1.14,1.0,0.76,0.92
g_0,2.58,3.02,3.88,2.88,2.71,2.13,1.38,1.52,1.33,1.27,1.44,1.14,0.93,1.3,1.0,0.9
a_0,2.92,3.65,4.3,3.11,2.43,2.43,1.51,1.34,1.39,1.15,1.21,0.88,1.07,1.05,1.14,1.0
