,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.35,1.27,0.75,0.67,0.75,0.66,1.46,1.72,1.8,1.44,1.36,0.71,1.65,1.17,1.48,2.13
e_1,0.64,2.38,0.91,0.78,0.61,0.83,1.59,2.61,1.42,1.36,2.03,1.88,2.32,1.02,1.92,2.21
c_1,0.81,0.64,2.55,0.76,1.27,0.77,1.58,1.42,0.73,1.43,1.31,1.65,2.18,1.98,1.52,1.96
d_1,0.98,0.81,0.62,2.59,0.77,0.63,1.32,0.71,2.53,1.29,1.76,1.77,2.53,1.6,1.84,1.93
b_1,0.78,0.68,0.7,0.81,2.72,1.41,1.47,1.59,1.57,1.34,0.6,1.7,2.1,1.85,1.32,1.78
a_1,0.78,0.64,0.69,0.81,0.7,3.21,1.82,1.94,1.95,2.09,2.02,1.83,1.92,1.69,,2.13
h_1,1.33,0.9,0.85,1.17,1.0,0.84,3.97,2.03,1.9,2.52,2.28,2.2,1.94,2.6,2.21,3.69
d_0,0.96,0.88,1.76,0.66,1.03,0.82,1.65,3.53,2.34,1.95,2.56,2.46,3.01,2.73,2.13,2.88
c_0,0.97,1.19,0.75,0.95,0.99,0.97,2.49,2.06,3.84,2.14,3.97,2.71,2.86,2.09,2.51,3.24
g_1,0.94,0.92,1.19,1.46,0.91,0.82,1.48,1.99,2.19,4.48,2.12,3.39,2.48,2.68,2.14,0.96
b_0,1.27,0.96,1.27,0.95,0.61,0.6,2.19,2.18,2.08,2.11,4.23,2.22,2.98,2.82,4.33,2.89
f_0,0.72,0.93,1.23,1.22,0.97,0.86,2.26,2.25,2.02,1.76,2.46,4.2,2.54,4.87,2.42,2.44
h_0,1.42,0.87,1.08,0.99,0.88,1.05,0.94,2.44,2.54,2.44,2.49,2.12,1.89,2.09,2.47,3.75
e_0,1.29,0.45,1.0,1.37,1.03,1.01,2.05,2.4,2.47,1.84,1.82,2.2,2.7,4.79,2.94,3.4
a_0,1.24,0.95,1.19,1.16,1.07,,1.96,2.61,2.54,1.81,1.95,2.18,2.8,2.66,5.0,3.2
g_0,0.88,0.86,1.05,1.56,0.96,0.99,1.57,2.14,2.34,,2.37,3.01,2.13,2.09,2.06,
