,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.46,0.58,0.67,0.62,0.57,0.32,0.33,0.35,0.25,0.28,0.31,0.31,0.23,0.25,0.32
f_1,0.62,0.41,0.55,0.61,0.61,0.55,0.26,0.28,0.37,0.26,0.25,0.28,0.26,0.19,0.23,0.21
d_1,0.67,0.65,0.39,0.54,0.54,0.54,0.29,0.32,0.22,0.31,0.28,0.25,0.25,0.23,0.17,0.24
c_1,0.49,0.59,0.71,0.38,0.7,0.57,0.35,0.18,0.31,0.27,0.24,0.26,0.23,0.22,0.21,0.26
b_1,0.58,0.66,0.64,0.4,0.34,0.75,0.33,0.25,0.34,0.33,0.32,0.3,0.26,0.27,0.25,0.25
a_1,0.61,0.62,0.62,0.59,0.36,0.3,0.36,0.29,0.35,0.3,0.4,0.31,0.36,0.21,0.25,0.27
h_1,0.55,0.61,0.55,0.55,0.53,0.48,0.24,0.26,0.31,0.25,0.24,0.27,0.25,0.22,0.23,0.26
d_0,0.4,0.54,0.67,0.69,0.64,0.57,0.35,0.23,0.33,0.22,0.25,0.26,0.26,0.2,0.23,0.27
g_1,0.55,0.55,0.65,0.57,0.51,0.47,0.28,0.26,0.21,0.28,0.26,0.31,0.25,0.17,0.25,0.25
c_0,0.64,0.59,0.41,0.71,0.55,0.49,0.32,0.35,0.29,0.22,0.31,0.28,0.28,0.24,0.25,0.24
b_0,0.55,0.62,0.5,0.68,0.65,0.45,0.32,0.29,0.28,0.17,0.21,0.26,0.31,0.22,0.2,0.26
f_0,0.55,0.72,0.55,0.59,0.53,0.48,0.3,0.28,0.21,0.24,0.24,0.21,0.25,0.22,0.17,0.31
a_0,0.52,0.58,0.52,0.69,0.66,0.6,0.32,0.27,0.27,0.21,0.16,0.24,0.19,0.2,0.2,0.26
h_0,0.55,0.6,0.52,0.6,0.52,0.52,0.35,0.28,0.35,0.23,0.25,0.24,0.26,0.25,0.23,0.23
g_0,0.54,0.59,0.59,0.62,0.54,0.44,0.27,0.26,0.31,0.22,0.24,0.26,0.28,0.17,0.23,0.25
e_0,0.62,0.73,0.59,0.53,0.54,0.53,0.28,0.26,0.25,0.24,0.23,0.16,0.22,0.21,0.19,0.18
