,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.75,1.01,0.89,0.99,0.69,0.39,0.42,0.48,0.35,0.4,0.47,0.23,0.39,0.29,0.36
d_1,0.98,0.4,0.89,0.85,0.76,0.82,0.54,0.56,0.36,0.53,0.39,0.4,0.34,0.4,0.39,0.25
e_1,0.55,1.0,0.4,1.03,0.9,0.92,0.47,0.51,0.57,0.35,0.42,0.5,0.4,0.4,0.68,0.39
c_1,0.87,1.07,0.74,0.39,1.11,0.92,0.39,0.24,0.47,0.54,0.35,0.37,0.35,0.38,0.34,0.33
b_1,0.88,0.94,0.94,0.56,0.37,0.96,0.58,0.45,0.47,0.48,0.65,0.36,0.38,0.41,0.52,0.37
a_1,1.42,0.91,0.82,0.85,0.54,0.31,0.52,0.42,0.61,0.41,0.44,0.41,0.38,0.64,0.45,0.32
h_1,0.8,0.72,0.79,0.94,0.73,0.73,0.25,0.34,0.43,0.33,0.32,0.35,0.35,0.29,0.33,0.36
d_0,0.79,1.17,0.47,0.89,0.9,0.84,0.49,0.26,0.4,0.32,0.36,0.35,0.29,0.32,0.39,0.3
g_1,0.81,0.8,0.79,0.79,0.82,0.7,0.34,0.4,0.22,0.36,0.35,0.42,0.24,0.4,0.33,0.5
c_0,0.91,0.46,0.85,1.3,0.79,0.76,0.45,0.48,0.45,0.25,0.46,0.34,0.35,0.32,0.34,0.31
b_0,0.78,0.78,0.7,0.92,1.22,0.82,0.41,0.3,0.39,0.2,0.24,0.34,0.32,0.41,0.36,0.29
f_0,1.33,0.7,0.7,0.86,0.82,0.81,0.4,0.33,0.3,0.33,0.35,0.23,0.3,0.34,0.44,0.21
h_0,0.91,0.72,0.7,0.8,0.7,0.67,0.51,0.41,0.44,0.32,0.31,0.36,0.4,0.28,0.28,0.36
a_0,0.88,0.64,0.73,0.81,1.0,1.06,0.49,0.36,0.39,0.39,0.2,0.37,0.35,0.2,0.28,0.27
e_0,1.35,0.69,0.87,0.87,0.82,0.61,0.42,0.35,0.39,0.34,0.3,0.2,0.3,0.41,0.19,0.26
g_0,0.81,0.89,0.7,0.79,0.72,0.84,0.33,0.37,0.46,0.34,0.33,0.36,0.22,0.29,0.35,0.38
