,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,1.25,0.91,1.07,0.95,1.07,1.36,0.98,1.1,1.01,1.17,1.1,0.99,1.07,1.12
f_1,1.29,1.0,0.98,0.94,0.88,0.85,0.84,1.02,0.9,1.03,1.03,0.89,0.86,0.97,0.87,1.02
c_1,0.8,1.01,1.0,1.17,1.36,0.93,1.06,0.74,0.91,0.99,0.78,0.92,1.05,0.98,1.03,1.02
d_1,1.07,1.08,0.87,1.0,0.97,0.97,0.95,1.0,1.17,0.85,1.14,1.07,1.0,1.1,0.97,0.84
b_1,0.94,1.12,0.74,1.02,1.0,1.45,1.05,0.94,1.15,1.01,0.93,0.93,0.98,0.9,1.06,1.02
a_1,1.03,1.18,1.08,1.04,0.71,1.0,1.11,1.05,1.05,1.06,1.18,0.95,1.11,0.98,0.94,1.07
h_1,0.93,1.21,0.95,1.02,0.92,0.9,1.0,0.94,0.97,1.19,0.9,0.9,0.92,0.88,1.01,1.13
d_0,0.76,0.99,1.35,1.02,1.09,0.99,1.1,1.0,0.85,1.08,1.04,0.99,1.05,0.99,1.06,1.1
c_0,1.09,1.11,1.07,0.84,0.84,0.93,0.98,1.15,1.0,1.01,1.32,0.97,1.01,1.04,1.04,1.02
g_1,0.91,0.95,1.0,1.2,0.96,0.94,0.85,0.9,0.98,1.0,0.97,1.22,0.88,0.92,1.07,1.05
b_0,1.01,0.94,1.29,0.92,1.08,0.86,1.06,0.99,0.75,1.03,1.0,1.03,1.05,1.3,0.89,1.13
f_0,0.83,1.1,1.05,0.95,1.06,1.1,1.13,1.01,0.96,0.84,0.95,1.0,1.04,0.91,1.27,0.82
h_0,0.93,1.12,0.97,1.02,0.99,0.9,1.12,0.95,1.01,1.14,0.93,0.95,1.0,0.96,0.98,1.07
a_0,0.97,1.02,1.02,0.95,1.14,1.03,1.08,1.03,0.94,1.06,0.74,1.11,1.0,1.0,0.89,1.0
e_0,0.91,1.13,1.01,1.0,0.94,1.03,1.01,0.94,0.98,1.0,1.09,0.76,1.01,1.17,1.0,0.85
g_0,0.93,0.95,1.02,1.15,0.98,0.96,0.93,0.88,0.95,0.93,0.87,1.21,0.91,0.97,1.11,1.0
