,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.73,0.62,0.45,0.7,0.6,0.39,2.32,2.29,2.72,5.92,3.36,3.32,4.94,0.87,4.64,3.41
f_1,1.08,5.78,0.59,0.58,0.49,0.52,2.07,2.14,2.88,2.62,0.64,2.77,4.65,2.21,3.38,2.4
d_1,0.52,0.66,6.29,0.54,0.57,0.66,2.13,2.04,5.76,0.63,2.49,3.44,4.67,2.92,4.66,2.2
c_1,0.5,0.7,0.56,6.68,1.08,0.58,2.28,1.93,0.47,3.03,2.6,2.5,5.15,2.76,4.4,2.94
b_1,0.56,0.59,0.53,0.51,7.93,1.08,2.33,2.04,2.85,2.75,3.26,0.6,4.17,3.67,3.92,3.0
a_1,0.66,0.57,0.71,0.56,0.65,10.06,2.44,2.04,3.1,2.38,2.78,2.21,3.79,2.65,3.83,0.53
h_1,0.91,1.47,0.95,1.03,0.96,0.92,15.17,5.62,4.54,5.16,5.03,4.61,2.23,5.52,7.9,5.22
g_1,1.09,1.0,1.71,0.78,0.71,1.14,3.22,18.66,4.75,3.65,7.77,5.08,5.19,4.68,3.1,5.22
c_0,1.22,1.02,1.44,0.43,0.85,1.23,3.3,4.2,13.86,4.71,6.42,9.45,7.71,6.83,8.13,6.21
d_0,0.96,1.03,0.33,2.3,1.09,1.09,3.48,3.26,4.09,13.12,5.71,4.49,6.18,5.48,7.61,6.0
f_0,1.03,0.46,0.92,1.34,1.09,1.1,4.48,3.6,4.54,6.23,16.23,6.19,6.09,12.74,9.63,6.37
b_0,1.04,1.03,1.27,1.19,0.41,0.87,4.0,4.31,5.09,5.35,5.89,17.05,7.29,6.71,8.49,12.72
h_0,0.87,1.31,1.23,1.26,0.9,1.25,1.51,4.61,4.49,5.5,4.84,4.63,2.9,4.44,10.12,4.7
e_0,0.26,1.23,1.36,1.45,1.11,1.05,4.4,4.58,5.67,4.9,6.37,4.36,8.17,23.27,6.44,4.45
g_0,0.78,0.79,1.89,1.09,0.99,0.84,3.43,2.1,4.94,5.14,8.34,4.9,7.21,7.66,4.28,4.38
a_0,0.99,1.28,1.65,1.2,0.93,0.36,3.92,3.79,4.42,5.26,5.77,5.75,7.37,4.1,8.0,24.16
