,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.82,1.15,1.79,2.38,4.34,18.44,47.67,40.12,37.1,54.3,53.78,96.0,102.55,116.88,145.26
f_1,1.23,1.0,1.13,1.43,2.45,3.56,16.14,28.15,41.23,39.77,39.95,39.91,75.71,72.07,100.6,77.9
d_1,0.86,0.88,1.0,0.94,1.76,2.92,13.57,23.74,20.84,42.51,38.69,36.24,60.3,69.41,71.02,91.76
c_1,0.56,0.7,1.04,1.0,2.39,2.49,12.46,14.03,24.53,22.79,27.22,28.3,45.7,56.44,57.8,72.31
b_1,0.41,0.41,0.57,0.42,1.0,2.64,7.36,10.92,15.24,15.41,19.89,21.96,29.76,44.54,43.0,51.45
a_1,0.23,0.28,0.34,0.4,0.38,1.0,4.89,7.75,9.15,10.35,14.64,13.05,20.92,22.95,36.04,29.76
h_1,0.05,0.06,0.07,0.08,0.14,0.2,1.0,1.61,2.2,2.08,2.44,2.47,4.25,4.85,6.25,6.35
d_0,0.02,0.04,0.04,0.07,0.1,0.13,0.62,1.0,1.27,0.97,1.57,1.5,2.62,2.77,3.56,3.75
g_1,0.02,0.02,0.05,0.04,0.06,0.11,0.45,0.76,1.0,1.25,1.39,1.77,2.36,1.92,3.35,3.51
c_0,0.03,0.02,0.02,0.04,0.06,0.1,0.47,1.04,0.81,1.0,1.63,1.28,2.16,2.67,3.23,2.64
b_0,0.02,0.03,0.03,0.04,0.05,0.06,0.4,0.69,0.71,0.6,1.0,0.96,2.54,1.85,2.15,2.48
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.4,0.65,0.56,0.77,1.02,1.0,1.85,2.04,1.93,3.71
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.24,0.41,0.41,0.44,0.41,0.52,1.0,1.1,1.18,1.56
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.37,0.52,0.38,0.54,0.5,0.91,1.0,1.38,1.15
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.28,0.29,0.3,0.45,0.51,0.87,0.73,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.27,0.28,0.35,0.41,0.29,0.68,0.84,0.95,1.0
