,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,103.34,34.78,38.02,47.62,66.33,259.15,4874.26,7153.52,19915.13,13917.48,18433.29,21876.49,43141.82,54700.65,111396.06,86598.45
f_1,46.22,108.18,45.76,44.96,67.64,273.89,4706.99,7934.26,10648.94,10383.18,17571.56,10678.56,41584.65,39621.71,128248.3,68209.24
d_1,30.88,32.49,127.04,38.4,78.5,268.57,4847.38,6184.83,4388.25,18991.8,17399.8,16953.14,38615.85,53274.68,91454.33,73073.16
c_1,29.69,33.99,35.59,139.12,122.06,174.14,4005.72,6236.77,8413.84,4103.13,11119.67,17701.58,35928.89,54799.88,102664.1,100233.82
b_1,28.06,29.59,33.04,28.67,219.9,308.73,2974.53,4993.4,8088.45,7657.65,3515.87,18940.69,28958.29,39877.82,70307.57,66582.6
a_1,14.63,15.54,21.71,29.18,35.03,598.02,2903.35,3652.15,6167.63,6945.55,7935.85,8465.86,10585.77,30951.28,52595.12,68764.75
h_1,10.03,13.39,11.94,15.87,27.65,56.57,2926.5,2717.77,3568.29,3772.99,5649.64,6754.84,11806.61,11837.79,45193.3,37977.15
g_1,8.4,6.33,15.8,14.92,21.73,75.81,1278.17,4254.24,2575.81,3287.3,3846.34,7590.06,9415.49,10449.01,20461.64,29239.86
d_0,6.24,8.62,7.68,20.78,18.94,60.36,1137.73,2095.18,4765.61,2646.06,3929.4,5516.09,7889.35,13331.43,28089.67,26967.16
c_0,7.66,10.23,9.98,8.26,17.35,70.65,1034.42,1921.25,2709.69,5030.85,6209.39,6288.37,11466.65,13778.16,31451.59,22317.27
b_0,6.48,8.3,7.95,11.51,12.27,70.58,993.62,2011.38,2701.9,2348.69,6353.18,5297.15,15188.77,13589.14,29523.37,22129.97
f_0,5.62,4.38,9.83,11.25,12.44,61.27,1164.93,1693.07,2618.17,2202.56,3547.02,7371.56,10122.14,14311.1,21332.33,40524.3
a_0,4.59,6.0,8.49,8.14,12.03,,909.08,1417.07,2217.19,1824.86,2614.17,3211.55,13723.47,6526.82,20952.76,20941.19
h_0,4.26,8.02,7.14,7.22,12.89,41.62,425.58,1519.69,1642.38,1916.47,2289.08,2310.83,8221.9,5271.43,23401.74,14408.48
g_0,4.08,3.42,7.27,5.08,10.91,34.37,442.66,815.56,1507.89,1499.12,1770.57,3852.35,5240.6,6716.73,10253.85,12431.67
e_0,1.41,5.75,5.41,6.18,12.62,30.32,531.99,979.09,1587.05,1614.2,2113.28,2050.46,3873.96,7462.91,13987.78,25804.66
