,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,3.69,3.69,2.97,3.57,2.95,1.1,0.83,1.27,0.95,2.04,0.96,0.64,0.81,0.86,0.53
f_1,3.18,1.07,3.94,3.64,2.72,2.91,1.04,1.41,1.04,0.97,1.02,1.17,0.68,0.87,0.86,0.81
e_1,3.82,2.15,1.07,3.34,3.52,2.72,1.6,1.47,1.1,1.03,1.11,1.08,0.86,1.1,3.04,0.88
c_1,4.53,4.0,3.17,1.07,4.61,3.13,1.28,1.31,2.19,0.98,0.62,1.01,0.82,1.05,0.82,0.91
b_1,3.72,4.43,3.64,2.55,1.07,6.47,1.56,1.38,1.39,2.04,1.23,0.89,0.97,1.21,1.03,0.79
a_1,5.08,4.47,5.21,6.22,2.32,1.07,2.32,1.96,1.47,2.06,1.86,1.51,1.49,3.07,1.4,1.09
h_1,8.17,7.93,6.69,7.77,7.07,5.55,1.38,3.05,2.22,2.1,2.14,2.16,2.3,1.78,1.93,1.63
g_1,8.92,9.5,7.99,7.57,8.29,7.08,2.47,1.38,2.15,2.37,2.07,2.46,1.67,2.16,1.79,2.68
c_0,4.74,9.94,9.72,16.46,7.75,7.66,3.38,3.55,1.57,2.93,2.71,3.11,2.05,2.41,2.57,2.0
b_0,7.86,9.48,9.79,10.72,19.71,6.06,3.3,3.35,1.61,1.64,2.88,2.5,1.86,2.64,2.24,1.8
d_0,15.27,10.45,5.32,9.97,10.9,7.23,5.06,4.75,3.08,2.68,1.72,2.86,2.22,2.43,3.11,1.84
f_0,10.01,23.56,9.75,8.78,11.03,10.42,3.86,2.77,2.4,2.73,2.97,1.67,2.27,2.24,3.43,1.44
h_0,11.69,14.41,11.45,12.34,12.05,7.22,8.0,4.11,3.05,3.49,3.11,3.17,3.99,2.69,2.94,2.78
a_0,14.35,12.1,11.72,11.39,10.75,15.01,4.94,4.49,3.34,2.15,3.45,4.04,3.27,1.64,2.54,3.12
e_0,11.01,14.33,20.87,13.62,12.64,8.73,4.28,5.22,3.21,3.49,3.28,1.72,2.5,3.73,1.65,2.63
g_0,12.84,15.16,17.51,13.58,13.24,11.86,4.23,7.64,4.01,4.47,5.38,4.05,2.86,2.56,3.66,4.24
