,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,87.76,63.12,85.02,138.99,129.65,538.36,13760.8,33982.38,25288.27,24679.66,42690.47,55994.29,130374.62,166423.67,205615.04,377926.3
f_1,73.21,104.91,79.27,98.77,131.94,406.79,10299.71,20529.24,21155.79,24684.24,42786.8,33378.66,108310.94,117646.21,199727.24,277809.52
d_1,45.96,61.11,140.04,75.97,103.56,352.34,11353.24,14789.52,18556.23,35911.54,42590.08,47342.87,110962.1,171478.43,189158.61,257374.4
c_1,35.05,56.06,81.14,152.15,178.35,405.52,10335.47,12688.12,19718.48,14785.62,28615.62,43123.08,96897.11,127178.76,147087.81,254962.4
b_1,40.73,47.81,71.83,67.42,187.42,660.17,9702.01,16156.53,18370.29,19487.56,28026.89,42623.53,110203.56,122725.25,128098.59,248966.15
a_1,24.63,37.65,54.23,53.99,53.57,549.56,7049.43,10553.61,11829.71,15301.74,22115.08,28732.8,61489.23,84520.13,82477.81,182011.03
h_1,11.07,17.86,20.16,22.69,28.56,95.8,3935.26,4304.05,6296.34,5550.3,9038.89,9118.88,22648.66,37141.82,38610.44,84885.63
d_0,8.32,12.64,14.88,32.58,25.15,90.61,2524.66,5059.94,4374.02,4199.5,7319.19,10660.5,23074.66,30611.95,38593.28,68127.56
g_1,8.66,10.64,23.62,16.52,22.09,81.86,1892.47,3263.73,6456.74,4932.28,8172.99,13062.91,21131.35,32442.73,37804.29,52363.03
c_0,10.53,13.01,16.03,17.34,20.54,72.5,2448.1,3719.59,4366.15,6287.67,11926.68,10373.05,22579.82,34807.14,44975.89,57412.06
b_0,9.39,10.62,15.21,16.56,14.33,62.32,2034.58,3416.58,3607.34,3924.37,8894.19,8227.18,20778.41,30460.46,56542.7,48747.52
f_0,6.85,9.92,14.92,14.38,19.89,67.18,2331.28,2941.6,3241.77,3912.75,6249.74,10204.73,17664.25,43249.07,24172.81,45641.49
h_0,5.8,9.55,11.47,11.92,13.37,49.44,1238.83,2348.99,3251.16,2976.71,4872.73,6422.3,11662.09,20188.11,24583.08,50296.5
e_0,4.21,8.82,8.45,10.9,12.21,43.73,1409.53,2110.51,2113.37,2816.56,3881.14,4809.62,12507.72,26367.24,19287.22,33896.58
a_0,4.87,6.97,9.23,9.75,11.23,27.08,1269.02,1994.04,2404.71,2492.76,3504.05,5576.86,11135.64,18853.61,28332.23,30722.02
g_0,3.91,5.27,10.53,9.44,11.68,37.84,980.32,1337.88,1740.03,2354.39,3524.97,5939.25,8424.98,14057.03,15494.52,25169.72
