,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.95,0.52,0.39,0.32,0.33,0.3,0.31,0.2,0.42,0.2,0.29,0.24,0.24,0.2,0.19,0.17
f_1,0.38,0.94,0.65,0.43,0.31,0.25,0.27,0.27,0.28,0.22,0.24,0.14,0.24,0.15,0.12,0.17
e_1,0.41,0.41,0.94,0.47,0.39,0.28,0.27,0.47,0.26,0.27,0.24,0.25,0.28,0.2,0.12,0.22
c_1,0.51,0.39,0.39,0.94,0.6,0.21,0.28,0.24,0.15,0.24,0.19,0.23,0.24,0.2,0.2,0.22
b_1,0.48,0.47,0.4,0.39,0.94,0.56,0.32,0.32,0.24,0.25,0.18,0.25,0.23,0.15,0.2,0.17
a_1,0.51,0.65,0.46,0.52,0.26,0.94,0.32,0.28,0.29,0.29,0.3,0.3,0.3,0.16,0.2,0.25
h_1,0.7,0.88,0.6,0.64,0.54,0.44,0.74,0.39,0.41,0.45,0.35,0.37,0.29,0.26,0.31,0.36
d_0,0.4,0.66,0.54,1.13,0.63,0.57,0.49,0.65,0.38,0.4,0.46,0.39,0.44,0.32,0.27,0.39
c_0,0.71,0.76,0.72,0.58,0.58,0.5,0.55,0.49,0.65,0.45,0.66,0.43,0.41,0.39,0.29,0.35
g_1,1.02,0.66,0.55,0.71,0.66,0.44,0.42,0.4,0.43,0.74,0.39,0.58,0.37,0.25,0.32,0.29
b_0,0.73,0.83,0.7,0.82,0.4,0.39,0.59,0.43,0.43,0.46,0.66,0.43,0.49,0.55,0.39,0.37
f_0,0.93,0.55,0.66,0.77,0.73,0.39,0.48,0.44,0.53,0.42,0.45,0.65,0.49,0.34,0.61,0.3
h_0,0.82,1.02,0.65,0.74,0.7,0.55,0.4,0.49,0.52,0.6,0.47,0.44,0.34,0.36,0.32,0.48
a_0,0.9,0.88,0.79,0.83,0.67,0.34,0.65,0.52,0.5,0.51,0.46,0.4,0.5,0.63,0.37,0.39
e_0,0.87,0.98,0.73,0.74,0.83,0.48,0.52,0.55,0.66,0.47,0.44,0.42,0.58,0.4,0.62,0.45
g_0,1.32,0.84,0.61,0.8,0.85,0.6,0.49,0.43,0.54,0.41,0.5,0.68,0.43,0.36,0.41,0.37
