,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.45,2.37,1.93,2.42,2.03,0.87,0.72,0.62,0.53,0.78,0.73,0.53,0.55,0.84,0.64
f_1,2.29,1.06,2.25,1.98,1.88,1.55,0.58,0.69,0.53,0.54,0.66,0.68,0.39,0.6,0.44,0.5
c_1,1.96,2.43,1.06,3.31,2.46,1.9,0.85,0.43,0.96,0.6,0.76,0.59,0.46,0.54,0.67,0.47
d_1,2.95,2.72,2.1,1.06,2.24,2.15,0.93,1.37,0.78,0.85,0.66,0.65,0.54,0.66,0.57,0.37
b_1,2.69,3.01,1.71,2.86,1.07,3.06,1.16,1.05,0.84,1.44,0.95,0.95,0.78,0.81,0.67,0.51
a_1,4.02,4.79,3.66,3.33,1.93,1.07,1.41,1.48,1.35,1.36,1.31,0.93,0.87,1.55,0.98,0.9
h_1,5.86,7.82,5.57,5.72,6.01,4.96,1.34,1.69,1.73,1.65,1.82,1.65,1.61,1.52,1.59,1.34
d_0,4.45,7.05,8.24,10.02,6.14,5.49,3.03,1.53,1.86,1.86,2.89,1.74,1.69,1.63,2.2,1.68
c_0,8.96,8.87,14.23,4.61,7.28,5.38,2.95,2.79,1.54,2.31,2.19,2.11,1.62,1.85,2.01,1.38
b_0,8.15,10.64,12.47,6.73,9.88,6.01,3.07,2.6,1.71,1.54,2.74,2.23,2.01,2.58,2.3,2.03
g_1,9.36,9.99,9.65,7.81,10.23,7.64,2.86,2.53,2.44,2.33,1.37,2.14,1.33,1.87,1.88,2.57
f_0,8.26,15.82,11.22,8.44,8.07,7.21,3.41,2.94,2.53,2.68,2.46,1.5,2.07,2.21,2.89,1.32
h_0,9.84,12.14,11.25,9.33,9.34,6.99,5.63,3.07,2.88,2.88,4.22,2.42,2.79,2.57,2.33,2.17
a_0,10.59,10.09,14.04,9.69,11.8,12.18,4.86,3.71,2.69,1.67,3.41,3.42,2.46,1.6,2.71,2.39
e_0,14.84,14.57,10.04,10.81,10.11,7.96,3.9,3.37,3.02,3.31,3.65,1.7,2.55,2.92,1.61,2.26
g_0,11.43,13.04,12.81,11.53,13.1,9.59,3.89,3.36,3.59,2.89,5.07,3.52,2.2,2.8,2.9,2.95
