,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.96,0.9,0.54,0.61,0.45,0.4,0.37,0.33,0.33,0.4,0.33,0.24,0.31,0.26,0.33,0.2
e_1,0.63,0.96,0.57,0.78,0.54,0.36,0.43,0.38,0.36,0.57,0.34,0.38,0.34,0.28,0.31,0.21
d_1,0.73,0.63,0.96,0.53,0.55,0.35,0.45,0.59,0.33,0.31,0.39,0.34,0.36,0.28,0.3,0.28
c_1,0.66,0.53,0.67,0.96,0.84,0.43,0.44,0.33,0.3,0.33,0.28,0.35,0.35,0.24,0.32,0.25
b_1,0.77,0.66,0.68,0.56,0.95,0.68,0.49,0.44,0.4,0.38,0.33,0.38,0.39,0.27,0.32,0.26
a_1,0.74,0.77,0.87,0.72,0.57,0.94,0.54,0.51,0.48,0.46,0.44,0.42,0.48,0.37,0.42,0.31
h_1,1.17,0.89,1.0,0.82,0.69,0.55,0.81,0.54,0.64,0.57,0.54,0.46,0.49,0.38,0.55,0.37
c_0,1.2,1.01,0.9,0.93,0.65,0.63,0.75,0.75,0.59,0.66,0.84,0.58,0.61,0.54,0.54,0.44
g_1,0.99,0.89,1.29,1.03,0.82,0.57,0.64,0.63,0.79,0.53,0.53,0.67,0.46,0.48,0.4,0.43
d_0,1.03,0.8,0.9,1.42,0.94,0.55,0.71,0.49,0.61,0.73,0.54,0.54,0.53,0.47,0.52,0.41
b_0,1.14,1.14,1.03,1.06,0.74,0.56,0.71,0.58,0.58,0.64,0.74,0.56,0.6,0.78,0.55,0.4
f_0,1.1,0.82,1.22,1.02,0.9,0.64,0.86,0.69,0.58,0.6,0.58,0.74,0.54,0.54,0.5,0.73
h_0,1.39,1.17,1.15,1.08,0.86,0.62,0.69,0.64,0.79,0.64,0.6,0.57,0.54,0.47,0.63,0.39
a_0,1.28,1.17,1.19,1.23,1.0,0.56,0.87,0.71,0.57,0.71,0.52,0.59,0.67,0.67,0.52,0.47
g_0,1.09,1.1,1.46,1.14,0.98,0.62,0.74,0.71,0.64,0.66,0.62,0.81,0.61,0.51,0.53,0.53
e_0,1.36,1.12,1.27,1.15,1.02,0.76,0.86,0.73,0.57,0.64,0.6,0.56,0.69,0.51,0.59,0.67
