,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.62,0.54,0.61,0.52,0.7,0.53,2.31,2.32,6.19,2.61,3.32,2.33,2.72,5.23,1.15,4.38
f_1,0.97,5.84,0.64,0.61,0.59,0.56,2.02,1.85,2.4,2.5,0.79,3.15,2.46,4.42,2.22,4.11
c_1,0.66,0.6,6.37,0.54,0.96,0.57,2.28,2.01,2.46,0.67,3.16,2.57,3.26,4.78,2.51,4.08
d_1,0.64,0.57,0.47,6.67,0.55,0.6,2.3,2.74,0.6,5.22,3.47,3.87,3.84,4.06,3.03,4.4
b_1,0.5,0.58,0.61,0.64,6.91,1.06,2.28,1.86,3.24,3.04,3.11,0.91,1.92,3.9,2.83,5.17
a_1,0.49,0.75,0.68,0.52,0.61,11.46,2.63,1.82,2.71,3.35,2.53,2.6,0.41,4.33,4.43,2.75
h_1,1.05,1.52,1.07,0.97,0.94,0.92,14.36,4.83,4.55,5.14,3.85,5.36,4.7,1.96,5.4,8.26
g_1,0.83,0.85,1.09,1.95,0.79,0.91,3.25,17.66,3.77,5.76,7.79,5.68,4.4,6.62,5.59,2.89
d_0,0.96,1.36,2.04,0.3,1.03,0.98,3.26,3.19,12.98,4.06,4.01,3.68,4.21,7.68,3.91,9.11
c_0,1.01,1.33,0.51,1.25,0.94,0.9,3.56,4.63,3.94,16.38,5.63,11.02,6.32,8.48,5.82,8.02
f_0,1.2,0.27,1.22,0.92,0.97,1.19,4.37,4.02,5.59,5.89,17.68,7.02,8.33,8.32,12.07,9.04
b_0,1.14,1.16,1.32,1.42,0.26,0.72,4.18,4.89,3.75,5.47,5.58,18.22,9.26,6.68,5.74,7.42
a_0,1.11,1.22,0.93,1.23,1.03,,3.84,4.4,3.97,6.32,6.66,5.2,21.6,8.68,6.92,7.87
h_0,0.98,1.75,0.87,1.31,0.88,0.77,1.19,4.39,4.45,5.65,4.34,4.41,6.62,2.8,4.52,9.08
e_0,0.26,1.42,1.06,1.34,1.17,1.2,4.62,3.95,4.0,6.96,5.51,5.48,3.79,8.53,24.93,6.92
g_0,1.01,1.22,1.24,1.68,0.7,0.96,4.08,1.18,3.8,3.8,7.43,4.75,5.12,6.57,6.49,3.12
