,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.04,1.16,1.4,1.59,1.38,1.19,0.55,0.54,0.56,0.39,0.43,0.47,0.44,0.33,0.35,0.45
f_1,1.56,1.04,1.34,1.46,1.37,1.17,0.46,0.45,0.6,0.41,0.39,0.43,0.37,0.27,0.33,0.29
d_1,1.84,1.79,1.04,1.43,1.32,1.26,0.56,0.57,0.4,0.53,0.47,0.43,0.4,0.36,0.27,0.37
c_1,1.43,1.7,2.0,1.05,1.83,1.38,0.7,0.33,0.58,0.48,0.43,0.46,0.38,0.36,0.33,0.42
b_1,2.03,2.33,2.16,1.32,1.05,2.22,0.82,0.57,0.76,0.73,0.7,0.65,0.52,0.55,0.49,0.49
a_1,2.61,2.64,2.53,2.38,1.38,1.06,1.07,0.8,0.95,0.8,1.05,0.81,0.89,0.52,0.6,0.63
h_1,4.09,4.52,3.97,3.84,3.52,2.96,1.23,1.27,1.46,1.16,1.09,1.25,1.06,0.95,0.96,1.08
d_0,3.67,4.9,5.84,5.97,5.22,4.36,2.2,1.35,1.91,1.27,1.42,1.46,1.37,1.05,1.16,1.37
g_1,5.23,5.23,5.99,5.15,4.38,3.77,1.86,1.62,1.26,1.66,1.55,1.83,1.38,0.91,1.35,1.33
c_0,6.39,5.9,3.94,6.75,4.87,4.11,2.24,2.3,1.88,1.36,1.93,1.74,1.64,1.37,1.39,1.32
b_0,5.9,6.57,5.21,6.85,6.22,4.01,2.36,2.03,1.9,1.12,1.4,1.72,1.93,1.35,1.21,1.5
f_0,5.86,7.66,5.71,5.98,5.08,4.33,2.22,1.93,1.45,1.62,1.56,1.35,1.52,1.36,1.02,1.81
a_0,6.82,7.54,6.6,8.51,7.69,6.53,2.89,2.31,2.25,1.73,1.32,1.95,1.4,1.5,1.42,1.86
h_0,7.36,8.12,6.79,7.67,6.27,5.91,3.25,2.45,3.03,1.99,2.08,2.03,2.0,1.92,1.73,1.74
g_0,7.74,8.47,8.18,8.5,6.99,5.28,2.67,2.43,2.81,2.02,2.16,2.28,2.3,1.4,1.88,1.95
e_0,9.12,10.77,8.45,7.45,7.21,6.62,2.88,2.5,2.33,2.26,2.06,1.45,1.91,1.74,1.54,1.48
