,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.76,0.73,0.37,0.45,0.37,0.34,0.73,0.7,0.67,0.71,0.82,0.18,0.81,0.69,0.73,0.72
e_1,0.39,3.82,0.39,0.35,0.42,0.32,0.89,0.56,1.51,0.81,0.8,1.04,1.02,0.71,0.21,0.86
d_1,0.35,0.38,4.14,0.34,0.42,0.4,0.64,0.74,0.16,1.55,0.91,0.91,0.95,0.92,0.84,1.09
c_1,0.48,0.43,0.3,4.35,0.83,0.25,0.6,0.69,0.63,0.09,0.51,0.78,0.83,0.85,0.74,0.71
b_1,0.39,0.32,0.37,0.4,5.12,0.82,1.07,0.61,0.96,0.78,0.17,0.69,0.64,0.59,0.79,0.81
a_1,0.46,0.4,0.35,0.5,0.26,7.33,0.84,0.7,0.69,0.75,0.71,0.74,0.74,0.24,0.86,0.74
h_1,0.97,0.57,0.75,0.52,0.64,0.67,4.81,2.12,1.43,1.34,1.31,1.3,0.77,1.2,1.52,1.86
g_1,0.71,0.51,1.24,0.69,0.48,0.67,0.98,5.74,1.0,1.36,1.7,1.96,1.5,1.2,1.4,0.84
d_0,0.76,0.55,0.2,1.42,0.6,0.76,1.26,1.3,3.75,1.22,1.32,1.48,1.57,1.44,1.7,1.55
c_0,0.75,0.62,0.86,0.3,0.56,0.62,1.36,1.83,1.56,3.97,3.21,1.68,2.22,1.86,1.61,2.01
b_0,0.85,0.72,0.86,0.68,0.14,0.49,1.3,1.43,1.51,1.41,4.6,1.62,1.85,2.96,1.7,1.37
f_0,0.32,0.57,0.99,0.85,0.54,0.66,1.27,1.24,1.93,1.55,1.62,4.73,1.62,1.74,3.19,2.05
h_0,0.95,0.6,0.86,0.83,0.45,0.54,0.27,1.66,1.43,1.32,1.58,1.13,0.67,1.72,1.18,1.76
a_0,0.73,0.62,0.88,0.73,0.53,0.25,1.3,1.58,1.27,1.13,1.79,1.82,1.64,5.6,2.13,1.67
e_0,0.76,0.24,0.7,0.75,0.71,0.78,1.22,1.72,1.93,2.0,1.95,1.68,1.97,1.9,6.42,1.59
g_0,0.53,0.58,1.23,0.69,0.53,0.71,1.19,0.6,1.25,1.31,1.51,2.37,1.29,1.68,1.8,0.8
