,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.34,1.52,1.23,1.36,1.09,0.51,0.45,0.58,0.44,0.45,0.64,0.34,0.42,0.47,0.44
e_1,0.95,0.67,1.46,1.23,1.43,1.33,0.67,0.74,0.82,0.53,0.5,0.63,0.45,1.07,0.55,0.45
c_1,1.28,1.38,0.65,1.78,1.71,1.32,0.66,0.32,0.67,0.57,0.49,0.44,0.37,0.35,0.39,0.39
d_1,1.67,1.83,1.36,0.63,1.38,1.17,0.72,0.91,0.46,0.57,0.57,0.5,0.47,0.58,0.57,0.32
b_1,1.75,1.6,0.92,1.71,0.62,2.07,0.66,0.66,0.61,0.78,0.77,0.6,0.47,0.48,0.5,0.39
a_1,2.14,1.89,1.82,2.17,0.89,0.58,0.92,0.89,0.83,0.69,0.78,0.62,0.54,0.61,0.88,0.59
h_1,2.4,2.02,2.15,1.79,2.46,1.75,0.58,0.73,1.0,0.8,0.72,0.71,0.93,0.71,0.67,0.58
d_0,2.53,1.33,3.16,3.64,2.33,1.87,1.17,0.63,1.12,0.85,0.81,0.72,0.7,0.94,0.78,0.74
g_1,2.8,1.93,2.36,2.7,2.68,2.37,0.85,0.8,0.54,0.86,0.81,0.81,0.56,0.86,0.71,0.94
c_0,2.67,2.57,4.76,1.45,2.27,2.56,1.04,1.17,0.98,0.61,1.22,1.0,0.67,0.79,0.89,0.67
b_0,3.1,2.19,3.51,2.04,5.05,2.09,1.29,0.98,1.07,0.51,0.59,0.94,0.72,0.87,0.99,0.76
f_0,3.68,2.25,2.92,2.57,2.46,2.4,1.19,1.09,0.91,0.8,0.84,0.58,0.81,0.9,0.86,0.49
h_0,3.31,2.58,3.01,2.45,2.44,2.47,1.95,0.98,1.37,1.05,1.08,0.97,1.01,0.89,0.87,0.99
e_0,3.97,3.46,3.58,2.4,2.82,2.61,1.23,0.92,1.14,1.1,1.06,0.71,0.75,0.57,0.83,0.72
a_0,2.87,2.37,3.6,2.64,3.52,3.5,1.49,1.07,1.39,0.94,0.66,1.22,0.97,1.29,0.56,0.96
g_0,3.8,3.18,3.27,3.16,2.95,2.58,1.17,1.08,1.68,1.12,1.0,1.09,0.59,0.88,0.88,1.1
