,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.9,0.77,0.77,0.84,0.74,0.34,0.36,0.39,0.33,0.36,0.46,0.24,0.37,0.36,0.33
e_1,0.53,0.41,0.78,0.96,0.9,0.78,0.52,0.42,0.52,0.37,0.35,0.41,0.32,0.36,0.36,0.59
d_1,0.87,0.94,0.39,0.75,0.79,0.77,0.43,0.59,0.3,0.4,0.35,0.34,0.3,0.34,0.23,0.35
c_1,0.86,0.61,1.1,0.39,0.88,0.81,0.4,0.23,0.46,0.43,0.35,0.36,0.33,0.38,0.27,0.37
b_1,0.86,0.81,0.85,0.54,0.36,1.03,0.47,0.41,0.5,0.52,0.61,0.34,0.29,0.34,0.33,0.4
a_1,0.97,0.91,0.73,0.79,0.49,0.3,0.5,0.43,0.46,0.4,0.49,0.39,0.37,0.53,0.28,0.36
h_1,0.87,0.67,0.74,0.75,0.74,0.56,0.25,0.3,0.45,0.31,0.28,0.28,0.36,0.29,0.32,0.25
d_0,0.71,0.45,1.05,1.0,0.73,0.66,0.42,0.25,0.53,0.3,0.3,0.34,0.32,0.28,0.33,0.37
g_1,0.85,0.68,0.83,0.68,0.69,0.67,0.32,0.36,0.22,0.35,0.32,0.34,0.21,0.29,0.33,0.31
c_0,0.91,0.7,0.47,1.22,0.66,0.69,0.39,0.41,0.39,0.24,0.38,0.3,0.31,0.36,0.32,0.34
b_0,0.78,0.69,0.63,0.92,0.96,0.52,0.43,0.39,0.37,0.2,0.23,0.31,0.28,0.38,0.27,0.27
f_0,0.99,0.66,0.65,0.69,0.78,0.68,0.45,0.32,0.28,0.31,0.33,0.23,0.3,0.31,0.2,0.4
h_0,0.82,0.75,0.68,0.64,0.73,0.65,0.46,0.32,0.43,0.3,0.33,0.3,0.32,0.29,0.29,0.28
a_0,0.69,0.73,0.75,0.77,0.86,0.8,0.45,0.36,0.41,0.27,0.19,0.31,0.3,0.21,0.27,0.38
g_0,0.72,0.72,0.75,0.82,0.71,0.68,0.3,0.29,0.47,0.28,0.3,0.36,0.24,0.32,0.34,0.34
e_0,0.77,0.92,0.69,0.71,0.68,0.74,0.43,0.32,0.41,0.3,0.29,0.19,0.34,0.36,0.26,0.19
