,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.41,1.13,1.14,1.45,1.24,1.34,2.56,2.31,4.01,2.13,3.02,2.58,3.24,3.11,2.58,3.46
f_1,1.83,2.43,1.04,1.24,1.04,1.19,2.08,2.18,2.68,2.49,1.77,2.66,2.92,2.39,2.15,3.52
d_1,1.15,1.38,2.52,1.11,1.09,1.08,2.5,2.23,1.68,4.23,2.45,3.52,3.47,3.14,2.7,3.15
c_1,1.11,1.22,1.12,2.58,2.15,1.01,2.32,2.41,2.12,1.54,2.62,1.94,3.18,2.67,2.84,2.98
b_1,1.12,1.27,1.28,0.97,2.8,2.18,2.19,2.64,2.73,2.73,2.81,1.59,3.41,2.42,2.59,3.18
a_1,1.18,1.14,1.42,1.57,1.03,3.3,2.73,2.25,3.05,2.81,2.83,2.73,3.57,1.78,2.99,3.6
h_1,1.22,1.73,1.36,1.33,1.21,1.11,4.18,3.59,2.95,2.68,3.08,2.88,3.12,2.98,3.01,4.34
g_1,1.27,1.24,1.95,1.21,1.25,1.23,2.32,4.42,2.8,3.07,3.89,2.6,3.04,3.11,3.35,3.62
d_0,1.22,1.43,1.02,2.31,1.44,1.15,2.6,2.08,3.91,2.17,2.61,2.87,4.22,3.12,2.92,3.59
c_0,1.53,1.45,1.39,1.23,0.85,1.41,2.82,2.47,3.42,4.24,3.49,5.13,3.89,2.97,2.91,4.15
f_0,1.11,1.13,1.59,1.42,1.4,1.38,2.66,2.57,3.31,2.69,4.51,3.5,3.94,3.0,5.97,3.55
b_0,1.45,1.56,1.28,1.57,1.05,1.18,2.46,2.91,3.18,2.53,2.98,4.45,4.2,5.48,2.49,3.75
h_0,1.29,1.81,1.58,1.31,1.34,1.15,1.73,3.33,2.29,3.01,2.61,2.62,3.09,2.71,2.66,4.4
a_0,1.34,1.42,1.39,1.42,1.52,1.21,3.06,2.44,2.93,3.07,3.04,2.64,4.28,4.92,3.04,3.2
e_0,0.98,1.66,1.49,1.4,1.4,1.1,3.0,2.7,3.2,3.52,2.42,3.81,4.17,2.96,5.08,3.76
g_0,1.21,1.16,2.14,1.34,1.19,1.19,2.48,2.16,2.59,2.7,4.22,3.08,3.72,3.68,3.59,2.96
