,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.36,0.96,1.01,0.94,0.83,0.81,1.08,0.9,0.82,0.89,1.01,0.85,0.85,1.0,0.74
e_1,0.73,1.0,1.0,1.1,1.08,1.1,0.99,1.03,1.51,1.06,1.12,1.21,0.96,1.07,1.14,1.06
d_1,1.05,0.99,1.0,1.0,1.03,0.91,1.07,0.84,0.95,1.23,1.09,0.94,1.04,0.98,0.78,1.05
c_1,1.01,0.92,1.0,1.0,1.31,0.99,1.04,0.94,0.68,0.91,0.78,1.03,0.98,1.1,0.94,0.92
b_1,1.05,0.92,0.97,0.76,1.0,1.42,1.16,1.02,1.04,1.12,0.96,0.93,1.11,0.86,1.14,1.09
a_1,1.21,0.92,1.11,1.0,0.72,1.0,1.18,1.12,1.02,1.15,1.14,1.06,1.25,1.12,1.02,1.02
h_1,1.23,0.95,0.96,0.98,0.88,0.84,1.0,1.21,1.04,0.94,0.94,0.89,0.96,0.91,1.33,1.01
g_1,0.93,0.99,1.19,1.05,0.97,0.9,0.86,1.0,1.01,0.94,0.92,1.22,0.86,1.0,0.98,1.03
d_0,1.07,0.68,1.02,1.5,0.94,1.0,1.0,0.97,1.0,0.81,1.05,0.9,1.04,1.05,1.09,1.25
c_0,1.22,0.93,0.82,1.06,0.83,0.84,1.02,1.09,1.08,1.0,1.42,0.85,1.18,1.18,1.15,1.21
b_0,1.14,0.9,0.92,1.32,1.03,0.87,1.07,1.15,0.94,0.7,1.0,0.9,1.0,1.43,0.98,1.01
f_0,0.99,0.78,1.1,1.0,1.02,0.99,1.08,0.76,1.06,1.19,1.07,1.0,1.0,0.99,0.86,1.54
h_0,1.21,1.05,0.99,1.01,0.86,0.82,1.02,1.2,0.96,0.85,0.99,0.95,1.0,0.92,1.19,0.84
a_0,1.18,0.92,1.01,0.95,1.07,0.89,1.09,0.98,1.0,0.81,0.74,0.98,1.03,1.0,1.01,1.02
g_0,0.96,0.85,1.24,1.04,0.93,0.91,0.74,1.03,1.0,0.86,1.01,1.22,0.85,1.01,1.0,1.01
e_0,1.41,0.99,0.88,1.12,0.89,0.99,1.02,1.07,0.88,0.84,1.02,0.63,1.19,1.01,1.0,1.0
