,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.22,0.03,0.02,0.03,0.03,0.02,0.06,0.06,0.06,0.11,0.06,0.05,0.05,0.05,,0.05
f_1,0.05,2.24,0.03,0.04,0.02,0.01,0.06,0.03,0.05,0.06,0.07,,0.08,0.05,0.06,0.06
d_1,0.02,0.03,2.31,0.02,0.03,0.02,0.05,0.05,0.12,,0.06,0.05,0.11,0.05,0.04,0.06
c_1,0.03,0.03,0.03,2.43,0.05,0.02,0.05,0.04,,0.06,0.03,0.06,0.07,0.06,0.05,0.09
b_1,0.03,0.03,0.03,0.02,2.53,0.04,0.07,0.05,0.05,0.05,,0.07,0.09,,0.04,0.08
a_1,0.03,0.03,0.02,0.02,0.03,2.99,0.07,0.03,0.08,0.07,0.04,0.05,0.09,,,0.09
h_1,0.11,0.15,0.11,0.1,0.06,0.09,2.64,0.32,0.29,0.24,0.25,0.14,,0.18,0.12,0.29
g_1,0.1,0.09,0.19,0.12,0.06,0.07,0.22,2.93,0.25,0.2,0.2,0.36,0.29,0.13,0.14,
c_0,0.14,0.14,0.16,,0.1,0.13,0.29,0.22,1.98,0.31,0.61,0.27,0.38,0.21,0.27,0.3
d_0,0.16,0.15,,0.21,0.12,0.09,0.32,0.16,0.24,2.12,0.35,0.32,0.33,0.24,0.35,0.35
b_0,0.14,0.14,0.13,0.12,,0.1,0.31,0.24,0.31,0.33,2.01,0.31,0.36,0.57,0.26,0.36
f_0,0.13,,0.16,0.13,0.17,0.15,0.26,0.28,0.31,0.29,0.42,2.18,0.48,0.17,0.31,0.32
h_0,0.27,0.33,0.19,0.2,0.17,0.21,,0.46,0.52,0.39,0.37,0.34,,0.25,0.32,0.81
a_0,0.15,0.16,0.18,0.11,,,0.18,0.26,0.3,0.33,0.29,0.36,0.38,2.53,,
e_0,,0.18,0.13,0.17,0.15,,0.33,0.28,0.29,0.37,0.31,0.31,0.37,,2.66,0.31
g_0,0.27,0.14,0.31,0.23,0.17,0.11,0.26,,0.62,0.48,0.57,0.55,0.48,,0.27,
