,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,0.95,2.11,1.77,1.74,1.65,0.58,0.38,0.34,0.52,0.4,0.4,0.34,0.27,0.64,0.28
f_1,1.58,0.43,1.7,1.56,1.78,1.71,0.35,0.35,0.33,0.59,0.35,0.58,0.3,0.19,0.29,0.26
c_1,1.45,2.11,0.41,2.38,1.41,1.61,0.59,0.23,0.71,0.49,0.38,0.36,0.33,0.28,0.39,0.28
d_1,2.2,2.04,1.62,0.41,1.73,1.65,0.48,0.76,0.32,0.33,0.35,0.42,0.33,0.25,0.31,0.16
b_1,1.79,2.21,1.06,1.82,0.4,1.87,0.54,0.4,0.5,0.56,0.71,0.37,0.46,0.28,0.39,0.3
a_1,2.34,2.14,2.67,2.46,1.41,0.32,0.74,0.61,0.54,0.79,0.49,0.5,0.83,0.41,0.56,0.36
h_1,2.88,3.25,3.23,2.47,2.68,2.22,0.32,0.75,0.56,0.93,0.6,0.6,0.56,0.82,0.47,0.43
d_0,1.67,2.93,3.83,5.79,3.45,2.97,0.91,0.36,0.7,1.32,0.69,0.58,0.56,0.44,0.6,0.56
c_0,3.83,3.46,5.9,1.68,3.62,3.54,0.91,0.87,0.36,0.96,0.58,0.64,0.49,0.44,0.54,0.41
g_1,3.65,4.13,3.43,2.85,3.82,3.11,0.66,0.73,0.61,0.28,0.59,0.61,0.71,0.33,0.53,0.75
b_0,3.65,3.42,4.55,2.6,6.11,3.76,0.87,1.0,0.37,0.98,0.33,0.59,0.69,0.46,0.67,0.51
f_0,2.92,6.46,3.58,3.65,3.85,3.28,1.08,0.81,0.62,0.61,0.67,0.31,0.72,0.55,0.71,0.3
a_0,3.55,3.87,5.03,3.49,5.77,5.07,1.11,0.93,0.66,1.15,0.41,0.76,0.33,0.66,0.74,0.59
h_0,3.87,4.7,3.99,3.61,3.79,3.84,1.77,0.8,0.83,1.12,0.85,0.67,0.82,0.69,0.66,0.57
e_0,7.13,5.65,4.32,3.6,4.41,3.68,1.07,1.04,0.95,0.92,0.9,0.46,0.83,0.57,0.32,0.6
g_0,4.23,4.57,4.49,4.66,4.23,3.35,1.05,1.11,1.0,2.55,0.88,0.95,1.01,0.46,0.79,0.84
