,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.07,3.51,2.87,2.64,2.84,2.74,1.29,1.22,0.82,2.44,1.12,0.81,0.68,0.76,0.52,0.95
f_1,3.48,1.07,3.7,3.12,3.18,2.25,1.04,0.97,1.43,1.04,0.89,1.29,0.57,0.89,0.71,0.7
e_1,4.1,2.16,1.07,3.51,3.39,3.33,1.25,1.07,1.21,1.12,1.09,1.27,0.77,0.94,0.87,1.83
c_1,5.06,4.4,3.58,1.07,4.93,3.13,1.19,1.53,1.2,0.7,0.89,0.96,0.96,1.06,0.87,1.13
b_1,4.06,4.79,3.89,2.28,1.07,5.49,1.91,1.35,1.62,1.07,3.77,1.26,1.06,0.98,0.99,1.01
a_1,5.61,6.17,4.92,5.8,2.8,1.07,2.28,1.88,1.94,1.62,1.72,1.88,1.51,3.44,1.38,1.22
h_1,6.42,7.32,7.92,9.39,6.48,6.15,1.39,1.93,3.08,2.23,1.98,2.13,2.63,1.59,1.88,1.58
c_0,5.1,8.51,9.82,19.39,7.57,7.43,3.21,1.61,3.79,3.08,2.93,2.31,2.33,2.58,2.33,2.09
g_1,8.62,9.32,10.1,9.3,8.68,6.95,2.24,2.47,1.38,2.34,2.31,2.02,1.68,2.32,2.18,1.68
d_0,10.93,7.78,5.8,10.5,9.61,7.9,3.59,2.56,4.06,1.64,2.88,2.09,1.94,2.43,1.81,1.81
b_0,7.84,9.5,9.03,13.41,11.52,6.73,4.05,1.75,3.56,2.55,1.63,3.2,2.43,3.15,2.2,2.29
f_0,10.4,20.41,9.01,11.61,7.86,7.67,3.63,3.03,2.98,3.43,2.52,1.63,2.42,2.79,1.59,2.83
h_0,11.34,12.99,11.58,11.37,10.83,8.85,6.32,3.22,4.45,3.58,2.91,3.24,4.52,2.66,2.87,2.66
a_0,11.38,14.32,12.84,15.94,14.44,,4.87,2.8,4.45,5.09,2.01,3.31,2.63,1.67,2.67,2.85
g_0,12.76,14.77,13.33,13.17,11.67,9.56,4.01,3.17,6.45,4.94,3.29,3.78,2.28,2.97,4.27,3.6
e_0,11.35,16.14,28.14,11.16,11.79,15.23,6.16,4.1,5.1,5.02,3.69,2.17,3.18,3.43,2.65,1.7
