,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,17.64,0.45,1.28,0.54,0.4,0.48,0.79,0.63,0.86,0.67,0.27,0.79,0.83,0.84,0.91,0.52
d_1,0.65,19.58,0.49,0.4,0.5,0.39,0.79,1.0,0.4,2.09,1.12,1.25,1.14,0.98,1.07,1.0
e_1,0.55,0.41,17.86,0.58,0.55,0.65,0.87,0.86,1.88,0.92,1.01,1.01,1.12,0.98,0.91,0.47
c_1,0.54,0.52,0.44,18.88,1.28,0.36,0.84,0.73,0.81,0.22,0.78,0.67,0.93,0.92,0.89,1.01
b_1,0.56,0.52,0.45,0.57,20.09,1.17,0.97,0.8,0.8,0.9,0.94,0.35,0.84,0.97,0.7,1.07
a_1,0.56,0.66,0.42,0.6,0.42,34.32,0.85,0.98,0.95,0.94,1.21,1.02,0.95,0.84,0.22,0.93
h_1,0.99,0.65,0.54,0.97,0.62,0.53,5.62,1.43,1.13,1.09,1.01,1.29,0.52,1.94,1.09,1.58
g_1,0.51,1.32,0.59,0.73,0.48,0.74,0.83,6.78,0.84,1.33,2.0,1.23,1.08,0.52,0.83,1.41
d_0,0.61,0.39,0.65,1.72,0.67,0.65,1.3,1.27,3.11,0.85,0.88,1.11,1.05,1.09,1.5,1.08
c_0,0.63,0.82,0.61,0.34,0.56,0.88,1.28,1.42,1.35,3.49,1.66,3.02,1.56,1.25,1.63,1.65
f_0,0.31,1.02,0.49,0.71,0.78,0.8,1.28,1.67,1.16,1.39,4.08,1.5,1.39,1.29,1.44,3.14
b_0,0.75,0.92,0.52,0.95,0.26,0.59,1.28,0.94,1.23,1.07,1.29,3.5,1.46,1.33,3.09,1.5
h_0,1.05,0.88,0.65,0.66,0.69,0.63,0.58,1.5,1.0,1.1,1.44,1.31,0.64,1.69,1.21,1.08
g_0,0.51,1.33,0.63,0.72,0.56,0.72,1.28,0.73,1.1,1.29,2.27,1.4,0.94,0.59,1.44,1.35
a_0,0.64,0.9,0.66,0.71,0.64,0.39,1.55,1.0,1.18,0.91,1.4,1.08,1.54,1.65,5.36,0.81
e_0,0.58,0.99,0.25,0.75,0.73,0.7,1.71,1.52,1.14,1.04,1.29,1.62,1.62,1.65,1.57,5.55
