,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,112.27,84.98,57.0,67.17,70.73,284.4,7949.21,14720.67,16508.2,17822.26,27262.4,28909.99,72213.56,81527.14,79389.07,158737.19
e_1,44.2,119.45,48.09,70.22,92.94,263.48,10014.68,13478.89,18283.08,30752.1,30556.63,47852.62,89687.18,95065.93,85409.07,161309.42
d_1,55.93,55.39,127.36,54.32,72.18,276.86,9273.5,12870.91,26713.63,10118.87,31605.04,56493.73,73853.16,91747.29,109034.65,139618.66
c_1,41.84,51.55,57.58,134.36,130.78,231.05,7575.93,10286.84,7963.42,14476.44,19013.39,40905.84,67574.42,90917.03,90511.31,151371.66
b_1,48.66,39.08,60.19,49.17,167.31,351.26,7408.18,11905.82,15289.22,15739.34,14617.69,42057.05,59047.34,93672.5,119352.81,151144.75
a_1,32.6,30.09,37.19,38.93,37.32,453.0,6077.94,9371.39,10897.16,11669.71,17131.59,27710.48,26606.86,58402.21,72798.68,105667.18
h_1,16.73,11.8,16.66,15.2,18.87,53.36,3891.82,4644.69,4555.67,4259.92,6892.61,10744.65,16132.73,16818.65,26887.42,47575.08
g_1,11.48,9.82,18.07,15.16,15.37,50.93,1604.89,5739.62,3106.28,3308.98,6180.15,13882.0,14508.53,17314.79,27924.43,23564.9
c_0,11.76,10.9,11.85,10.13,12.88,58.34,2187.59,3774.45,5584.73,4033.54,9863.38,10747.67,20680.36,21604.89,24998.61,34452.27
d_0,10.56,9.27,8.26,21.04,16.79,57.26,2311.88,3019.68,2738.52,5633.82,5486.46,9592.98,15068.18,19931.68,19485.99,32567.57
b_0,10.73,9.39,11.54,13.5,9.62,38.27,1727.13,2653.95,2883.99,3478.26,7705.42,9875.8,25444.04,18795.54,18454.59,26569.12
f_0,6.32,7.48,9.44,10.75,11.26,43.94,1518.28,2341.3,2806.49,2730.47,4094.19,11391.44,12657.02,16679.45,29575.84,21431.08
a_0,7.27,5.83,9.02,8.45,11.94,23.53,1434.19,2044.33,2166.88,2221.65,3050.42,6197.47,16723.57,14441.03,15430.74,20301.29
h_0,9.43,6.35,8.54,7.27,8.5,35.99,912.39,2579.27,2224.98,2362.12,3802.93,5407.58,9162.33,9214.17,15744.14,24346.91
e_0,7.11,3.3,7.62,8.93,7.23,29.49,1248.08,1859.72,1853.27,2325.56,3394.41,4978.77,8747.21,9965.43,24141.89,19917.14
g_0,4.93,5.15,9.92,6.77,8.0,28.61,1026.55,1235.48,1885.33,1590.26,3240.13,7323.95,8589.28,8415.0,12450.21,12981.33
