,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.2,0.23,0.16,0.25,0.22,0.14,0.38,0.94,0.5,0.35,0.48,0.51,0.68,0.44,0.08,0.48
f_1,0.41,2.26,0.19,0.22,0.14,0.15,0.51,0.44,0.55,0.27,0.52,0.1,0.49,0.4,0.32,0.62
d_1,0.25,0.25,2.38,0.13,0.22,0.18,0.43,0.07,0.89,0.41,0.42,0.48,0.54,0.37,0.29,0.5
c_1,0.25,0.17,0.24,2.46,0.42,0.15,0.32,0.46,0.06,0.3,0.43,0.45,0.59,0.3,0.38,0.44
b_1,0.17,0.26,0.2,0.24,2.62,0.31,0.4,0.61,0.44,0.45,0.15,0.41,0.51,0.33,0.39,0.43
a_1,0.26,0.28,0.21,0.21,0.14,2.99,0.53,0.57,0.35,0.23,0.44,0.38,0.54,0.1,0.51,0.52
h_1,0.35,0.61,0.48,0.33,0.32,0.21,2.78,0.62,0.8,0.79,0.84,0.69,0.34,0.65,0.47,1.04
d_0,0.41,0.46,0.12,0.81,0.34,0.27,0.54,2.11,0.61,0.53,0.75,0.8,1.02,0.5,0.57,0.78
c_0,0.42,0.52,0.5,0.13,0.27,0.38,0.73,0.59,2.25,0.63,1.54,0.85,1.07,0.66,0.69,1.03
g_1,0.35,0.31,0.77,0.33,0.25,0.32,0.65,0.68,0.74,3.19,0.68,1.22,0.9,0.52,0.94,0.28
b_0,0.45,0.45,0.47,0.35,0.07,0.35,0.81,0.94,0.92,0.64,2.39,0.87,1.01,1.12,0.79,1.01
f_0,0.36,0.16,0.47,0.48,0.31,0.37,0.74,0.88,0.97,0.9,1.04,2.44,1.18,0.7,1.4,1.12
h_0,0.34,0.56,0.36,0.36,0.33,0.32,0.33,0.99,0.9,0.91,0.76,1.01,0.39,0.57,0.79,1.1
a_0,0.39,0.54,0.42,0.46,0.22,,1.05,0.79,0.84,0.85,0.69,1.09,1.06,2.8,0.67,1.13
e_0,,0.44,0.49,0.37,0.4,0.36,0.66,0.9,0.89,0.81,1.16,1.07,1.38,0.75,2.92,0.91
g_0,0.36,0.3,0.66,0.39,0.39,0.21,0.63,0.72,0.84,0.28,0.86,1.49,0.88,0.7,0.62,0.5
