,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,3.62,0.41,0.27,0.4,0.31,0.45,0.69,1.64,0.69,0.88,1.09,0.89,1.0,1.11,0.87,0.31
f_1,0.69,3.66,0.38,0.41,0.39,0.31,0.84,0.69,0.67,0.95,0.63,0.14,0.7,0.87,0.74,0.49
d_1,0.38,0.44,4.14,0.31,0.37,0.41,0.81,0.18,0.71,1.52,0.82,0.91,0.9,0.83,0.84,0.94
c_1,0.39,0.41,0.44,4.4,0.73,0.29,0.64,0.76,0.82,0.13,0.72,0.69,0.71,0.74,0.52,0.78
b_1,0.38,0.35,0.44,0.37,5.63,0.73,0.85,0.59,0.78,0.54,0.17,0.94,0.73,0.91,0.74,1.13
a_1,0.34,0.37,0.41,0.42,0.34,7.2,0.81,0.82,0.77,0.88,0.76,0.87,0.17,1.2,1.41,0.77
h_1,0.61,0.92,0.78,0.67,0.68,0.57,4.74,0.95,1.64,1.39,1.42,1.45,1.44,0.53,1.9,1.63
d_0,0.56,0.74,0.21,1.45,0.85,0.72,1.17,3.57,1.3,1.09,1.45,1.34,1.22,1.47,1.33,1.62
g_1,0.58,0.58,1.12,0.69,0.53,0.6,1.11,1.09,6.59,1.26,1.3,2.55,1.2,1.1,0.71,1.62
c_0,0.87,0.78,0.76,0.26,0.75,0.71,1.13,1.63,1.06,3.95,2.65,1.58,1.15,1.55,1.93,1.37
b_0,0.68,0.89,0.84,0.76,,0.46,1.35,1.56,1.36,1.27,4.66,1.55,2.62,1.34,1.84,1.75
f_0,0.7,0.29,0.89,0.83,0.68,0.72,1.25,1.57,1.21,1.23,1.54,4.86,1.69,1.59,1.87,3.19
a_0,0.6,0.75,0.83,0.91,0.71,,1.53,1.74,1.07,1.4,1.63,1.44,6.03,1.67,1.69,1.82
h_0,0.64,1.05,0.74,0.66,0.46,0.86,0.64,1.56,1.67,1.03,1.29,1.3,1.32,0.62,2.32,1.11
g_0,0.65,0.58,1.16,0.78,0.59,0.55,1.38,1.33,,1.15,1.76,2.3,1.44,1.45,0.7,1.45
e_0,0.16,1.06,0.83,0.83,0.74,0.76,1.31,1.39,1.34,1.32,1.39,1.34,1.46,1.51,1.86,6.04
