,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.53,0.76,0.83,0.64,0.69,0.61,0.87,0.58,0.69,1.35,0.95,0.91,0.91,0.83,0.77,0.86
e_1,0.67,1.53,0.69,0.91,0.7,0.68,0.91,1.44,0.83,0.81,0.86,0.93,1.07,0.8,0.6,0.88
f_1,0.76,1.15,1.54,0.73,0.57,0.65,0.71,0.86,0.8,0.82,0.52,0.75,0.74,0.72,0.51,0.71
c_1,0.79,0.72,0.78,1.55,1.07,0.51,0.79,0.78,0.7,0.52,0.8,0.62,1.01,0.69,0.68,1.02
b_1,0.8,0.73,0.77,0.69,1.62,1.03,0.93,0.79,0.73,0.9,0.81,0.67,0.88,0.6,0.85,1.04
a_1,0.86,0.79,0.72,0.83,0.69,1.74,1.07,1.08,1.0,1.03,1.1,1.07,1.16,0.55,1.04,0.96
h_1,1.02,0.92,1.38,1.01,0.82,0.67,1.76,1.13,1.42,1.0,1.01,1.04,1.01,1.03,0.93,1.33
d_0,0.86,0.85,1.04,1.68,1.07,0.83,1.15,1.58,0.96,0.87,1.06,1.08,1.19,0.8,0.9,1.17
g_1,1.53,0.95,0.9,0.96,0.93,0.71,0.84,1.24,1.85,1.1,1.57,1.21,1.31,1.18,1.14,0.81
c_0,0.95,1.05,1.19,0.89,0.75,0.73,1.35,1.47,1.13,1.67,1.21,2.23,1.41,1.17,1.2,1.4
f_0,1.12,0.93,0.96,1.15,1.06,0.81,1.18,1.3,1.13,1.16,1.69,1.24,1.39,1.01,1.78,1.05
b_0,1.14,1.0,1.27,1.25,0.57,0.6,1.2,1.38,1.05,0.9,1.24,1.69,1.53,1.92,1.15,1.1
h_0,1.21,1.0,1.55,1.0,0.92,0.76,0.92,1.24,1.26,1.09,1.14,1.16,1.14,0.94,1.03,1.44
a_0,1.25,1.09,1.26,1.06,0.92,0.66,1.4,1.41,1.02,1.34,1.52,1.0,1.53,1.74,1.19,1.31
e_0,1.36,0.73,1.33,1.17,0.96,0.83,1.42,1.44,1.07,1.25,1.04,1.25,1.52,1.28,1.78,1.36
g_0,1.64,0.95,1.15,0.97,0.86,0.85,1.14,1.13,1.09,1.17,1.83,1.39,1.36,1.13,1.07,1.14
