,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,100.15,50.67,42.32,51.46,64.74,196.78,5166.76,12551.93,12565.52,14314.05,15770.45,11013.25,71272.98,74544.94,114726.18,91096.84
e_1,30.72,107.66,37.24,49.26,63.14,253.67,5022.18,21980.16,11183.11,13739.81,20276.01,25444.81,69006.49,54205.03,130094.66,68632.41
d_1,35.54,33.28,124.59,33.07,63.35,213.34,5386.61,4053.4,8932.34,24632.39,18203.13,19729.26,54932.6,85123.0,90412.38,92764.14
c_1,27.45,29.91,40.25,140.32,94.76,201.73,4509.62,7705.38,11571.0,4618.42,13842.49,24748.72,55004.9,69298.99,84471.94,86696.29
b_1,25.02,27.43,29.7,36.52,185.34,380.63,4576.85,11200.86,8674.81,11161.08,6066.47,16807.85,42494.42,43619.8,94491.05,67849.4
a_1,18.9,17.27,22.5,24.4,22.43,542.85,4606.4,7055.96,7744.62,6570.94,12717.93,10944.02,43258.85,19257.11,51814.67,50849.03
h_1,12.48,10.64,13.5,16.12,17.28,39.39,3355.99,2918.15,4469.39,4017.78,4793.89,5908.63,11636.86,17495.12,37932.31,32012.04
d_0,7.04,6.24,6.25,22.44,15.03,58.09,1671.15,4885.33,2545.65,3164.94,4874.28,5789.96,13990.91,13356.46,31002.05,34240.34
g_1,6.59,8.25,15.12,9.35,16.36,32.12,1096.2,2443.38,6105.82,3650.23,4294.26,7978.0,15488.49,16353.16,15035.52,25055.18
c_0,7.88,8.16,7.67,8.8,13.98,64.74,1256.82,2506.71,2783.31,5702.92,6961.82,5879.39,17446.17,17668.03,29872.85,27505.94
b_0,7.74,7.41,9.37,10.89,8.83,42.38,1302.18,2266.73,2262.71,2758.64,6696.6,4764.87,14384.91,27976.89,22886.08,24295.71
f_0,3.32,5.42,10.34,10.04,13.59,51.23,1280.23,2500.33,2242.65,3060.82,4524.7,8330.64,13416.43,17076.51,18845.0,40197.0
h_0,5.43,4.95,7.31,6.61,10.4,29.17,576.83,1720.94,1867.75,1805.87,2950.25,3264.76,5497.62,10136.12,17956.05,14166.46
a_0,3.93,5.76,5.11,6.88,9.65,20.23,896.35,1633.9,1593.49,1967.05,2170.8,3280.25,8956.22,19696.0,19559.96,14860.67
g_0,3.81,3.62,7.11,7.15,7.02,30.21,644.59,1298.61,,1537.92,2485.62,3749.21,7485.54,7146.78,8258.49,11902.95
e_0,3.64,2.28,4.78,7.89,10.25,25.39,652.99,1397.98,1470.61,1676.38,3055.13,2750.53,9963.13,7714.57,16658.91,26881.02
