,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,1.31,0.94,1.55,2.75,19.46,37.62,28.45,29.45,41.81,49.05,80.0,100.75,132.93,110.9
f_1,1.18,1.0,1.01,1.1,1.22,2.09,13.17,22.17,21.92,29.85,33.98,35.29,61.11,91.96,60.08,96.15
c_1,0.76,0.99,1.0,1.07,2.04,2.27,15.67,17.59,19.52,23.1,26.8,35.31,66.88,79.68,79.86,92.21
d_1,1.06,0.9,0.93,1.0,1.55,2.13,14.81,23.63,31.35,20.08,36.65,37.94,70.24,71.04,78.3,70.99
b_1,0.65,0.84,0.49,0.65,1.0,2.86,11.62,15.97,22.44,19.65,22.61,24.56,51.0,51.78,54.65,58.77
a_1,0.36,0.48,0.44,0.46,0.36,1.0,7.83,10.23,8.84,10.28,16.51,16.87,30.54,31.87,40.24,39.46
h_1,0.05,0.08,0.07,0.07,0.08,0.13,1.0,1.51,1.51,2.01,2.1,2.25,4.5,4.82,5.31,6.49
d_0,0.03,0.04,0.06,0.04,0.06,0.1,0.65,1.0,0.87,1.06,1.51,1.55,3.27,3.09,3.87,4.49
c_0,0.04,0.05,0.05,0.03,0.04,0.11,0.65,1.1,1.0,1.04,1.93,1.45,3.34,4.07,3.55,3.68
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.51,0.93,0.98,1.0,1.39,1.7,2.55,2.64,3.2,3.15
b_0,0.02,0.03,0.04,0.03,0.04,0.06,0.47,0.68,0.5,0.72,1.0,1.03,1.96,3.34,2.34,2.65
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.45,0.64,0.66,0.56,0.96,1.0,2.03,2.15,3.17,1.9
h_0,0.01,0.02,0.02,0.01,0.02,0.03,0.21,0.31,0.3,0.41,0.48,0.51,1.0,1.03,1.11,1.62
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.3,0.26,0.37,0.3,0.48,0.99,1.0,0.99,1.05
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.19,0.26,0.28,0.31,0.43,0.33,0.88,1.04,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.23,0.25,0.34,0.38,0.5,0.6,1.01,1.07,1.0
