,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.41,0.92,0.88,1.01,0.66,0.25,0.18,0.24,0.17,0.16,0.2,0.12,0.15,0.34,0.13
f_1,0.77,0.16,0.75,0.69,0.89,0.67,0.15,0.18,0.25,0.13,0.14,0.41,0.09,0.12,0.14,0.12
c_1,0.59,0.87,0.16,0.88,0.69,1.0,0.21,0.09,0.26,0.38,0.15,0.15,0.1,0.16,0.13,0.12
d_1,0.95,0.84,0.83,0.15,0.76,0.74,0.26,0.38,0.12,0.13,0.14,0.13,0.09,0.15,0.15,0.07
b_1,0.81,1.07,0.42,0.78,0.13,0.79,0.22,0.18,0.25,0.21,0.59,0.16,0.15,0.22,0.17,0.14
a_1,0.97,0.71,0.98,1.04,0.36,0.09,0.29,0.21,0.3,0.16,0.22,0.16,0.11,0.52,0.15,0.11
h_1,0.58,0.78,0.54,0.63,0.68,0.49,0.06,0.14,0.2,0.11,0.13,0.13,0.17,0.14,0.14,0.09
d_0,0.3,0.67,0.71,1.42,0.74,0.63,0.18,0.07,0.26,0.12,0.13,0.12,0.09,0.13,0.14,0.12
g_1,0.76,0.78,0.64,0.49,0.69,0.64,0.13,0.14,0.05,0.17,0.13,0.11,0.07,0.14,0.12,0.17
c_0,0.56,0.7,1.74,0.31,0.64,0.64,0.23,0.21,0.18,0.06,0.15,0.13,0.09,0.11,0.16,0.1
b_0,0.55,0.65,0.85,0.5,1.07,0.64,0.17,0.13,0.21,0.07,0.06,0.12,0.09,0.1,0.14,0.11
f_0,0.51,1.45,0.6,0.58,0.64,0.7,0.17,0.13,0.11,0.12,0.12,0.05,0.1,0.14,0.11,0.05
h_0,0.53,0.63,0.62,0.54,0.61,0.53,0.37,0.15,0.14,0.11,0.11,0.13,0.14,0.11,0.11,0.09
a_0,0.53,0.73,0.6,0.49,0.94,1.24,0.16,0.15,0.28,0.1,0.06,0.12,0.09,0.04,0.13,0.1
e_0,0.87,0.97,0.56,0.59,0.57,0.51,0.19,0.12,0.13,0.1,0.11,0.06,0.08,0.1,0.04,0.07
g_0,0.59,0.7,0.74,0.52,0.52,0.56,0.17,0.12,0.27,0.13,0.14,0.12,0.06,0.12,0.12,0.12
