,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.42,4.47,4.08,3.3,3.06,3.39,1.33,2.11,1.91,1.52,,1.74,1.01,1.43,1.31,1.53
e_1,2.24,0.42,4.02,3.39,3.36,3.73,2.04,1.87,2.01,1.41,2.15,1.78,1.47,1.42,,1.21
d_1,3.28,3.53,0.41,3.83,3.49,4.29,2.06,1.55,,2.07,1.73,1.29,1.27,1.57,1.52,0.85
c_1,4.0,3.57,3.26,0.39,4.66,3.88,1.82,1.93,0.95,,1.76,1.63,1.48,1.5,1.39,1.42
b_1,4.15,3.57,3.87,2.23,0.36,4.21,1.98,1.75,1.61,1.67,1.41,,1.52,1.61,1.59,
a_1,3.39,4.79,4.29,3.88,2.25,0.3,2.16,1.35,1.11,1.73,1.93,1.97,1.59,,,1.32
h_1,2.01,1.97,1.69,1.87,1.77,1.41,0.26,1.03,0.84,0.81,0.77,0.82,,0.98,0.65,0.62
g_1,1.74,1.87,1.81,1.86,1.99,2.11,0.74,0.25,0.72,1.13,0.92,0.8,0.51,1.0,1.05,
d_0,1.6,0.93,,1.97,1.21,2.72,0.82,1.17,0.29,0.81,0.91,0.63,0.48,0.69,0.61,0.83
c_0,1.56,1.55,1.0,,1.92,1.73,0.9,0.87,0.71,0.28,0.59,1.06,0.56,0.91,0.78,0.48
f_0,,1.53,1.32,1.23,1.91,1.57,0.77,0.71,0.57,0.79,0.26,0.81,0.68,0.81,0.89,0.6
b_0,1.45,1.78,1.85,1.77,,1.58,0.93,0.84,0.79,0.37,0.81,0.25,0.64,,0.7,0.57
h_0,1.44,1.23,1.27,1.33,1.09,0.94,,0.82,0.68,0.74,0.46,0.53,,0.44,0.44,0.64
a_0,1.86,1.84,1.64,1.57,2.02,,0.98,0.63,0.69,0.52,0.81,,0.93,0.22,0.79,
e_0,2.03,,1.52,1.91,1.81,,0.78,0.72,0.94,0.64,0.4,0.96,0.79,0.67,0.22,
g_0,1.46,1.56,1.5,1.42,,1.16,0.67,,0.52,0.67,0.47,0.54,0.29,,,
