,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.32,1.38,1.34,1.73,3.15,20.57,27.72,33.78,39.13,43.65,50.28,66.2,102.59,112.54,165.71
e_1,0.77,1.0,1.71,1.32,1.64,3.34,21.92,34.78,34.65,37.93,49.64,63.07,86.52,126.64,127.69,145.61
c_1,0.73,0.58,1.0,1.16,1.86,2.68,17.13,13.96,22.03,24.36,25.46,37.02,57.8,89.98,75.73,100.99
d_1,0.75,0.75,0.87,1.0,1.16,2.02,14.68,19.47,30.23,21.16,35.25,35.32,58.57,72.94,83.94,80.69
b_1,0.58,0.61,0.55,0.86,1.0,2.88,13.55,13.62,22.39,22.31,27.09,31.51,46.93,65.18,58.68,87.79
a_1,0.31,0.29,0.38,0.48,0.34,1.0,7.88,8.38,11.37,12.12,18.95,17.48,22.89,39.2,45.42,47.7
h_1,0.05,0.05,0.06,0.07,0.07,0.12,1.0,1.09,1.38,1.99,1.98,2.45,3.32,5.45,5.84,7.59
d_0,0.03,0.03,0.07,0.05,0.07,0.11,0.93,1.0,1.24,1.47,1.74,2.19,3.09,4.95,4.62,6.48
c_0,0.03,0.03,0.05,0.03,0.04,0.09,0.71,0.82,1.0,1.13,1.93,1.53,2.22,3.43,3.7,4.3
g_1,0.03,0.03,0.04,0.05,0.04,0.08,0.51,0.67,0.92,1.0,1.19,1.66,1.79,3.58,3.75,3.41
b_0,0.02,0.02,0.04,0.03,0.04,0.06,0.5,0.61,0.53,0.83,1.0,1.08,1.78,2.83,3.64,3.22
f_0,0.02,0.02,0.03,0.03,0.03,0.05,0.41,0.48,0.65,0.57,0.9,1.0,1.38,3.05,2.38,2.21
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.31,0.34,0.44,0.55,0.6,0.69,1.01,1.44,1.45,2.35
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.19,0.29,0.28,0.35,0.34,0.65,1.0,1.02,1.25
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.18,0.23,0.27,0.29,0.28,0.41,0.69,1.11,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.16,0.23,0.29,0.32,0.44,0.42,0.81,0.86,1.0
