,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.93,0.07,0.08,0.09,0.11,0.05,0.07,0.07,0.12,0.05,0.06,0.05,0.04,0.06,,0.04
f_1,0.18,0.93,0.11,0.11,0.11,0.07,0.06,0.06,0.06,0.05,,0.07,0.04,0.06,0.03,0.04
c_1,0.13,0.1,0.93,0.1,0.12,0.07,0.08,0.07,0.06,,0.07,0.06,0.06,0.06,0.03,0.05
d_1,0.12,0.1,0.09,0.93,0.09,0.06,0.08,0.07,,0.07,0.08,0.06,0.06,0.05,0.05,0.04
b_1,0.11,0.1,0.1,0.1,0.93,0.1,0.09,0.06,0.08,0.07,0.07,,,0.06,0.04,0.06
a_1,0.13,0.14,0.14,0.1,0.1,0.93,0.1,,0.08,0.08,0.05,0.06,,0.07,,
h_1,0.35,0.38,0.24,0.24,0.24,0.17,0.71,0.23,0.22,0.19,0.12,0.14,0.11,,0.12,0.14
g_1,0.23,0.31,0.28,0.41,0.24,,0.18,0.71,0.18,0.2,0.22,0.16,0.14,0.15,0.14,
d_0,0.33,0.41,0.54,,0.36,0.2,0.22,0.17,0.59,0.21,0.15,0.17,0.14,0.2,0.14,0.2
c_0,0.4,0.41,,0.37,0.31,0.18,0.22,0.21,0.23,0.57,0.23,0.36,0.15,0.22,0.14,0.2
f_0,0.44,,0.32,0.26,0.3,0.3,0.36,0.2,0.3,0.2,0.57,0.2,0.21,0.24,0.22,0.15
b_0,0.41,0.34,0.41,0.4,,0.23,0.32,0.28,0.18,0.16,0.21,0.58,0.25,0.17,0.18,0.19
a_0,0.39,0.49,0.32,0.36,,,0.27,0.19,0.22,0.3,0.22,0.14,0.59,0.25,,0.22
h_0,0.49,0.71,0.49,0.52,0.39,0.29,,0.34,0.34,0.28,0.18,0.26,0.28,,0.15,0.26
e_0,,0.54,0.44,0.36,0.5,,0.3,0.26,0.25,0.26,0.19,0.19,,0.24,0.58,0.17
g_0,0.5,0.59,0.58,0.69,0.37,,0.4,,0.31,0.19,0.4,0.31,0.21,0.25,0.19,
