,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.91,0.35,0.25,0.38,0.24,0.18,0.28,0.51,0.23,0.23,0.24,0.23,0.28,0.13,0.15,0.22
f_1,0.58,0.91,0.26,0.28,0.27,0.15,0.24,0.29,0.19,0.26,0.26,0.13,0.26,0.11,0.17,0.16
d_1,0.35,0.35,0.91,0.23,0.23,0.14,0.29,0.19,0.24,0.51,0.31,0.26,0.3,0.2,0.19,0.21
c_1,0.29,0.34,0.3,0.9,0.5,0.18,0.26,0.23,0.21,0.13,0.18,0.22,0.25,0.14,0.13,0.19
b_1,0.35,0.32,0.29,0.29,0.89,0.36,0.27,0.29,0.22,0.23,0.15,0.25,0.31,0.14,0.11,0.2
a_1,0.33,0.38,0.34,0.31,0.25,0.89,0.3,0.29,0.23,0.3,0.24,0.26,0.27,0.16,0.09,0.23
h_1,0.38,0.48,0.33,0.32,0.29,0.17,0.61,0.29,0.31,0.28,0.26,0.2,0.22,0.19,0.15,0.28
d_0,0.36,0.37,0.23,0.57,0.29,0.18,0.3,0.5,0.22,0.22,0.23,0.28,0.29,0.17,0.18,0.22
g_1,0.35,0.31,0.54,0.27,0.27,0.18,0.26,0.26,0.59,0.32,0.29,0.4,0.31,0.2,0.19,0.18
c_0,0.44,0.42,0.39,0.24,0.23,0.16,0.33,0.29,0.28,0.51,0.51,0.29,0.32,0.22,0.25,0.22
b_0,0.49,0.41,0.4,0.31,0.16,0.15,0.32,0.34,0.25,0.34,0.5,0.27,0.35,0.22,0.42,0.21
f_0,0.36,0.34,0.4,0.3,0.31,0.19,0.39,0.33,0.28,0.31,0.28,0.47,0.31,0.41,0.14,0.25
h_0,0.38,0.51,0.38,0.31,0.26,0.17,0.22,0.31,0.33,0.29,0.27,0.28,0.21,0.19,0.2,0.31
e_0,0.29,0.52,0.33,0.33,0.26,0.18,0.37,0.34,0.24,0.34,0.26,0.3,0.33,0.46,0.18,0.25
a_0,0.4,0.45,0.4,0.31,0.24,0.08,0.32,0.34,0.3,0.33,0.3,0.28,0.31,0.23,0.41,0.23
g_0,0.34,0.34,0.51,0.35,0.32,0.19,0.3,0.23,0.2,0.31,0.25,0.4,0.26,0.19,0.16,0.19
