,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.94,0.82,0.85,0.93,0.85,0.38,0.34,0.52,0.34,0.35,0.55,0.25,0.35,0.36,0.36
e_1,0.58,0.41,0.89,1.06,0.97,0.99,0.53,0.4,0.55,0.49,0.38,0.46,0.4,0.41,0.61,0.38
d_1,0.99,1.02,0.39,0.77,0.82,0.77,0.45,0.43,0.31,0.82,0.4,0.41,0.33,0.39,0.42,0.23
c_1,0.88,0.75,1.18,0.39,1.01,0.67,0.5,0.44,0.49,0.24,0.35,0.37,0.35,0.37,0.34,0.32
b_1,0.9,0.88,0.88,0.56,0.38,1.24,0.45,0.45,0.55,0.41,0.63,0.36,0.36,0.39,0.38,0.36
a_1,0.96,0.95,0.87,1.27,0.49,0.31,0.51,0.48,0.54,0.4,0.6,0.4,0.37,0.88,0.49,0.41
h_1,0.87,0.73,0.72,0.85,0.72,0.69,0.25,0.34,0.5,0.4,0.49,0.36,0.43,0.33,0.33,0.32
c_0,0.95,0.78,0.49,1.5,0.82,0.69,0.47,0.25,0.36,0.4,0.45,0.38,0.3,0.39,0.36,0.3
g_1,0.79,0.67,0.9,0.82,0.8,0.72,0.36,0.47,0.22,0.37,0.31,0.41,0.25,0.45,0.34,0.53
d_0,0.94,0.48,0.86,1.04,0.85,0.78,0.43,0.36,0.49,0.26,0.34,0.3,0.27,0.33,0.32,0.33
b_0,0.85,0.78,0.65,1.04,1.04,0.71,0.35,0.22,0.51,0.37,0.23,0.36,0.28,0.46,0.37,0.37
f_0,1.34,0.74,0.65,0.75,0.81,0.81,0.47,0.35,0.3,0.35,0.39,0.24,0.34,0.37,0.53,0.21
h_0,0.82,0.71,0.72,0.85,0.72,0.71,0.49,0.38,0.43,0.39,0.33,0.32,0.37,0.37,0.35,0.37
a_0,0.94,0.76,0.77,0.7,0.96,0.96,0.46,0.33,0.39,0.34,0.19,0.31,0.29,0.21,0.35,0.33
e_0,1.01,1.02,0.67,0.79,0.74,0.84,0.43,0.31,0.42,0.41,0.31,0.17,0.3,0.31,0.19,0.32
g_0,0.94,0.74,0.8,0.8,0.68,0.69,0.33,0.38,0.47,0.34,0.32,0.43,0.2,0.33,0.29,0.36
