,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,6.16,1.7,2.37,2.8,2.33,1.98,8.31,18.5,9.84,8.54,9.79,11.51,15.63,19.07,6.53,12.09
d_1,1.87,6.4,2.26,1.73,2.01,2.09,7.88,6.72,18.81,8.35,13.99,12.07,17.66,16.8,15.44,14.68
f_1,3.8,1.84,6.35,2.49,1.85,2.22,6.73,9.81,8.86,6.96,9.01,5.64,17.12,13.2,8.25,9.45
c_1,2.12,1.86,2.23,6.44,4.43,2.0,8.27,7.98,6.5,7.78,6.81,10.55,14.5,13.91,9.98,9.77
b_1,2.18,2.26,2.32,2.0,7.52,4.55,8.02,9.52,8.74,8.35,6.16,10.33,15.48,15.72,10.41,9.56
a_1,2.33,2.3,2.48,2.29,1.68,10.85,9.29,11.06,10.26,8.76,11.36,13.3,15.82,16.72,12.14,8.79
h_1,2.34,2.55,3.21,2.32,2.27,2.41,18.13,10.16,9.9,11.78,11.29,11.71,12.6,22.73,11.75,13.64
d_0,2.3,1.35,2.71,4.4,2.92,2.37,9.66,17.84,6.93,8.78,10.97,10.75,16.01,14.47,9.92,14.77
c_0,2.43,2.99,2.57,2.05,2.03,2.54,8.66,11.58,18.65,8.34,21.29,13.75,17.91,19.65,13.73,17.72
g_1,1.63,3.6,2.0,2.46,2.63,2.22,8.87,9.36,11.51,21.72,11.82,18.25,16.12,14.56,15.15,12.71
b_0,2.33,2.68,2.91,2.54,1.82,1.97,10.36,10.38,11.91,8.6,21.29,12.51,19.76,20.63,11.77,28.16
f_0,2.04,3.05,1.68,2.5,2.56,2.68,9.67,11.98,12.22,9.64,13.72,21.56,19.74,22.04,25.01,14.81
h_0,2.55,2.6,3.34,2.55,2.13,2.27,7.08,11.78,10.25,11.92,11.06,12.64,12.58,23.17,11.03,12.5
g_0,2.1,3.91,2.13,2.51,2.33,2.31,9.14,9.39,11.79,8.9,10.03,18.59,16.37,12.75,12.27,13.14
e_0,1.26,2.97,2.73,2.53,2.76,2.83,10.55,9.64,12.45,9.25,13.45,13.87,21.59,20.33,30.2,16.42
a_0,2.11,2.66,2.37,2.96,2.39,2.08,8.78,11.52,11.71,10.28,12.43,12.25,20.77,17.92,12.82,28.96
