,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,9820.39,262.15,170.73,247.39,437.94,2403.76,212498.78,342516.04,597037.64,944689.41,,1714247.09,7268747.27,4697085.95,4508356.81,19835494.79
e_1,123.88,10542.1,154.34,288.93,523.47,1365.24,176836.55,326950.64,1309242.76,982071.53,1203628.95,1255666.99,7576855.43,4763857.0,,20117464.65
d_1,117.48,122.66,11936.78,311.8,455.36,1499.65,220955.85,377097.42,,1571658.16,1671856.8,1386366.37,7767975.66,5372423.71,6510807.4,25535605.22
c_1,146.18,156.87,151.03,24089.64,898.47,1841.12,202146.28,325520.23,617962.58,,1832622.14,1310723.16,6765927.12,5902418.82,4795986.74,21477788.45
b_1,160.87,159.01,159.52,239.05,50241.85,3999.07,211513.29,307264.57,984329.42,654857.57,1061496.38,,8957665.63,3907217.24,4861402.86,
a_1,152.19,117.59,110.99,239.12,498.88,309180.67,282418.23,321328.7,353850.82,753314.93,1221091.59,1423933.53,10867968.45,,,30128066.61
h_1,805.31,454.07,530.89,1072.31,1747.78,7306.26,10107313.84,1756153.3,2452306.34,2955853.48,5646904.96,4895472.03,,14696785.81,26869082.36,101328310.76
g_1,432.16,530.02,787.93,985.2,1976.38,12149.78,771130.21,18687272.27,1549642.21,2626210.81,5804967.94,5776436.61,23472684.1,28489682.11,24053441.69,
d_0,525.74,673.38,,2747.99,2866.57,14418.22,998626.82,1734447.43,19895296.15,4197362.51,8079449.39,7140557.68,32520147.99,30000175.49,20865773.16,125901943.01
c_0,750.38,883.81,689.61,,2156.07,9220.48,1012364.23,1026441.45,2707953.97,29442565.47,6195091.79,17124008.38,26623368.89,39413028.19,33025676.08,113223610.57
f_0,,475.91,784.05,1385.7,2787.75,8251.47,1186979.92,1529563.21,2556517.81,5612665.35,47511218.03,5972581.92,49316970.04,21705217.48,62829986.48,174590001.63
b_0,631.72,587.53,1023.79,1292.43,,7956.52,976915.09,1736735.34,3783297.88,3420109.28,5015866.35,61405060.15,40378176.31,,18998971.65,143297316.79
h_0,1433.68,935.18,1264.24,1725.37,3311.68,14162.48,,3431409.8,6090496.62,6305157.15,8810683.35,10520854.77,,23782639.93,32280680.01,339122975.52
a_0,753.33,808.41,810.0,1564.93,2226.08,,723797.41,1433806.06,3521477.96,3585470.79,5085409.25,,44063811.07,294150503.01,30894863.45,
e_0,821.78,,891.84,1585.2,2405.24,,1518715.55,1258728.18,3567092.96,4085904.05,6255128.67,6865130.3,48515854.16,24830061.89,310543247.86,
g_0,765.46,1108.94,2139.92,1785.29,,16871.77,1775609.19,,3033705.68,8288372.93,10556151.16,12533501.4,45552453.34,,,
