,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,99.54,51.49,35.45,53.79,73.13,244.78,5115.08,7587.57,11226.73,14631.08,10333.04,26208.0,57026.0,56132.02,50044.34,163698.11
e_1,28.04,103.34,33.64,55.52,92.06,204.96,4876.16,8512.95,20142.42,16147.74,22267.54,25161.48,72232.9,61240.1,39649.2,169783.93
d_1,33.28,31.29,110.06,51.02,73.0,219.22,5466.94,7553.89,6827.19,23536.98,22248.05,21253.61,70948.19,56633.05,71000.28,147281.79
c_1,26.51,27.63,29.98,156.22,121.21,183.57,4308.72,7029.83,7959.82,3155.08,19799.25,15018.43,51634.24,51652.67,52269.72,138908.45
b_1,24.77,24.75,27.47,32.91,224.68,308.41,4568.79,5654.54,10547.88,8788.0,12409.96,7672.83,53488.68,29014.39,44379.2,101824.03
a_1,19.31,15.9,20.22,27.82,36.66,557.76,3204.38,3458.81,4231.6,8236.25,10184.48,12332.23,42596.92,15978.05,34845.02,88695.08
h_1,12.35,8.96,10.93,17.17,21.65,80.11,3254.91,2791.54,3701.62,3561.45,5360.38,6411.77,11834.26,17889.4,18878.18,59084.98
g_1,8.83,7.79,11.46,13.21,20.22,76.92,1322.74,4410.34,2592.51,3710.33,6507.54,5746.94,14857.47,19470.6,17952.36,23325.54
d_0,7.39,6.9,3.87,23.72,19.21,74.98,1371.88,2058.2,4738.1,3212.2,5293.71,5283.25,13609.76,16633.43,11932.91,47520.8
c_0,8.14,7.14,8.08,10.12,19.81,39.06,1455.65,1754.0,2352.26,5755.25,4327.27,9867.95,15036.32,19580.12,15970.35,45296.35
f_0,4.08,6.03,8.99,12.83,18.64,45.39,1365.34,1501.39,2352.69,3723.74,7439.46,4170.91,16550.16,10147.99,22211.65,45568.54
b_0,6.13,5.39,8.12,13.79,8.74,41.59,1055.35,1496.74,2396.05,2364.82,4485.45,8304.07,14586.35,23298.83,13084.82,40598.46
h_0,6.53,4.39,5.14,8.4,10.2,34.05,516.02,1538.11,1866.42,2055.24,2341.01,3561.25,6394.76,8128.45,8031.01,34766.86
a_0,4.8,4.25,6.06,8.45,15.97,,678.56,851.52,1488.44,1724.51,3135.1,2475.89,9731.03,17725.86,11047.92,32867.17
e_0,5.27,2.66,4.57,8.32,12.38,41.71,894.98,1051.31,2206.65,2207.65,2628.27,3596.65,11953.56,8021.88,18094.04,19138.29
g_0,2.73,3.43,5.48,5.93,9.19,25.61,576.72,686.78,927.19,1585.27,2421.36,2707.51,5271.16,5591.55,8028.96,
